"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attenzione</strong>: il Captcha è case sensitive."
"After number of attempts to login","Dopo un numero di tentativi di login"
"Always","Sempre"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minuti)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Se selezionato il CAPTCHA peri form ""Crea utente"" e ""Password dimenticata"" è sempre abilitato"
"Case Sensitive","Case Sensitive"
"Displaying Mode","Modalità visualizzazione"
"Enable CAPTCHA in Admin","Abilita CAPTCHA in Admin"
"Enable CAPTCHA on Frontend","Abilita il CAPTCHA nel Frontend"
"Font","Font"
"Forms","Forms"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Se 0 viene specificato, il CAPTCHA sarà sempre disponibile nel form di login."
"Incorrect CAPTCHA.","CAPTCHA non corretto."
"Number of Symbols","Numero di simboli"
"Number of Unsuccessful Attempts to Login","Numero di tentativi di login non riusciti"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Specificare al massimo 8 simboli. Gli intervalli sono consentiti (es. 3-5)"
"Please type the letters below","Digitare le lettere seguenti"
"Please type the letters from the image:","Digitare le lettere dell'immagine:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","In questo campo utilizzare solo lettere (a-z or A-Z) o numeri (0-9). Non sono permessi spazi o altri caratteri.<br />Caratteri similini (es. ""i"", ""l"", ""1"") diminuiscono la possibilità di un corretto riconoscimento da parte del cliente."
"Reload captcha","Ricarica captcha"
"Symbols Used in CAPTCHA","Simboli usati nel CAPTCHA"
