"Add","Ekle"
"Add gift message for shopping cart","Sepete hediye mesajı ekle"
"Add gift messages for quote item of shopping cart","Sipariş satırı için hediye mesajı ekle"
"Add gift messages to products of shopping cart","Sepetteki ürünlere hediye mesajı ekle"
"Add gift options","Hediye seçenekleri ekle"
"Add gift options for Individual Items","Her ürün için hediye seçenekleri ekle"
"Add gift options for the Entire Order","Siparişin tamamı için hediye seçenekleri ekle"
"Add gift options.","Hediye seçenekleri ekle."
"Allow Gift Messages for Order Items","Her ürüne ayrı hediye mesajı girilebilsin"
"Allow Gift Messages on Order Level","Siparişin tamamı için tek hediye mesajı girilebilsin"
"An error occurred while saving the gift message.","Hediye mesajı kaydedilirken bir hata oluştu."
"Are you sure?","Emin misiniz ?"
"Cancel","İptal"
"Do you have any gift items in your order?","Sipariş ettiğiniz ürünler içinde hediye olan var mı ?"
"Edit","Düzenle"
"From","Gönderici"
"Gift Message","Hediye Mesajı"
"Gift Message API","Hediye Mesajı APIsi"
"Gift Options","Hediye Seçenekleri"
"Gift Options for","Hediye seçenekleri : "
"Gift Options for Individual Items","Her ürün için hediye seçenekleri"
"Gift Options for the Entire Order.","Siparişin tamamı için hediye seçenekleri."
"Gift Options for this address.","Bu adres için hediye seçenekleri."
"Item %d of %d","Gösterilen : %d / Toplam : %d"
"Message","Mesaj"
"No","Hayır"
"OK","Tamam"
"Save Gift Message","Hediye Mesajını Kaydet"
"The gift message has been removed","Hediye mesajı silindi"
"The gift message has been saved","Hediye mesajı kaydedildi"
"The gift message has been saved.","Hediye mesajı kaydedildi."
"To","Alıcı"
"Unknown entity type","Bilinmeyen entity tipi"
"Use config","Ayarları kullan"
"Yes","Evet"
"You can leave this box blank if you do not wish to add a gift message for the item.","Ürün için bir hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave this box blank if you do not wish to add a gift message for this address.","Adres için bir hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Siparişin tamamı için bir hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
