"--Please Select--","--Lütfen Seçin--"
"API Login ID","API Oturum Kodu"
"Accepted Currency","Kabul Edilen Para Birimi"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"Authorize.net Direct Post","Authorize.net Doğrudan Posta"
"Card Verification Number","Kart Doğrulama Numarası"
"Card Verification Number Visual Reference","Kart Doğrulama Numarası Görsel Referansı"
"Close","Kapatın"
"Credit Card Information","Kredi Kartı Bilgileri"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Doğrulama Kodu"
"Debug","Hata Ayıklama"
"Email Customer","Müşteriye E-posta Gönderilsin"
"Enabled","Açık"
"Expiration Date","Son Kullanım Tarihi"
"Gateway URL","Geçit İnternet Adresi"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant MD5","Satıcı MD5"
"Merchant's Email","Satıcı E-postası"
"Minimum Order Total","En Düşük Sipariş Toplamı"
"New Order Status","Yeni Sipariş Durumu"
"Order saving error: %s","Sipariş kaydedilirken hata oluştu : %s"
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme doğrulama hatası."
"Payment authorization error. Transacion id is empty.","Ödeme doğrulama hatası. İşlem numarası boş."
"Payment error. Order was not found.","Ödeme hatası. Sipariş bulunamadı."
"Payment error. Paid amount doesn\'t match the order amount.","Ödeme hatası. Alınan ödeme ile sipariş toplamı eşit değil."
"Payment from Applicable Countries","Olabilecek her ülkeden"
"Payment from Specific Countries","Yalnız belirtilen ülkelerden"
"Please, choose payment method","Lütfen ödeme yöntemini seçin"
"Response hash validation failed. Transaction declined.","Veri akışı için karma anahtar eşleştirilemedi. İşlem reddedildi."
"Sort Order","Sıralama"
"Test Mode","Sınama Kipi"
"The order has been created.","Sipariş oluşturuldu."
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken bir sorun oluştu. Lütfen site yöneticisi ile görüşün ya da bir süre sonra yeniden deneyin."
"Title","Başlık"
"Transaction Key","İşlem Anahtarı"
"What is this?","Bu nedir?"
"You will be required to enter your payment details before you place an order.","Siparişinizi tamamlamanız için ödeme bilgilerinizi yazmanız gerekli."
