"%s file does not exists or is not readable","%s file does not exists or is not readable"
"-- Please Select --","-- Faites un choix --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","L'adapter doit être une instance de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Adapter object must be an instance of %s"
"Adapter type must be a non empty string","Le type d'adapter ne doit pas être vide"
"Append Complex Data","Append Complex Data"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Attribute does not has options, so filtering is impossible","Attribute does not has options, so filtering is impossible"
"Begin data validation","Begin data validation"
"Begin export of %s","Begin export of %s"
"Begin import of ""%s"" with ""%s"" behavior","Begin import of ""%s"" with ""%s"" behavior"
"CSV","CSV"
"Can not determine attribute filter type","Impossible de déterminer le type de filtre de l'attribut"
"Can not find required columns: %s","Can not find required columns: %s"
"Cannot get autoincrement value","Cannot get autoincrement value"
"Check Data","Vérifier les données"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d"
"Column names have duplicates","Il y a des doublons parmi les noms de colonnes"
"Column names is empty or is not an array","La liste des noms de colonnes est vide ou n'est pas un tableau"
"Column names: ""%s"" are invalid","Les noms de colonnes suivants sont invalides : ""%s"""
"Customers","Customers"
"Data is invalid or file is not uploaded","Les données sont invalides ou le fichier n'a pas été uploadé"
"Delete Entities","Delete Entities"
"Destination directory is not writable","Le répertoire de destination n'a pas les droits en écriture"
"Destination file is not writable","Le fichier de destination n'a pas les droits en écriture"
"Destination file path must be a string","Le chemin du fichier de destination doit être une chaîne de caractères"
"Done import data validation","Done import data validation"
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Entity Type","Entity Type"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","L'objet adapter d'entité doit être une instance de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","L'entité est inconnue"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Le modèle du type d'entité doit être une instance de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Le modèle du type d'entité doit être une instance de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erreur dans la structure des données : les comportements sont mélangés"
"Error in data structure: entity codes are mixed","Erreur dans la structure des données : les codes d'entités sont mélangés"
"Errors limit (%d) reached. Please fix errors and re-upload file","Errors limit (%d) reached. Please fix errors and re-upload file"
"Export","Exporter"
"Export File Format","Export File Format"
"Export Settings","Export Settings"
"Export has been done.","Export has been done."
"Exported %s rows.","Exported %s rows."
"File does not contain data.","File does not contain data."
"File does not contain data. Please upload another one","Le fichier ne contient pas de données. Veuillez en uploader un autre."
"File format is unknown","Le format de fichier n'est pas reconnu"
"File is partially valid, but import is not possible","Le fichier est partiellement valide, mais l'import est impossible."
"File is totally invalid. Please fix errors and re-upload file","Le fichier est complètement invalide. Corrigez les erreurs et uploadez à nouveau le fichier"
"File is valid! To start import process press ""Import"" button","Le fichier est valide. Cliquez sur le bouton ""Importer"" pour démarrer le processus d'import."
"File is valid, but import is not possible","Le fichier est valide, mais l'import est impossible."
"File was not uploaded","File was not uploaded"
"Filter","Filter"
"From","From"
"Header column names already set","L'en-tête des noms de colonnes a déjà été défini"
"Import","Importer"
"Import Behavior","Import Behavior"
"Import Settings","Import Settings"
"Import has been done successfuly.","Import has been done successfuly."
"Import successfully done.","Import terminé avec succès."
"Import/Export","Importer/Exporter"
"Input entity code is not equal to entity adapter code","Le code d'entité d'entrée est différent du code d'adapter d'entité"
"Invalid entity","Entité invalide"
"Invalid entity model","Invalid entity model"
"Invalid file format","Format de fichier invalide"
"Invalid parameters","Paramètres invalides"
"Invalid seek position","Position de recherche invalide"
"Invalid value for '%s'","Valeur incorrecte pour '%s'"
"Invalid value for '%s' column","Invalid value for '%s' column"
"No filter data provided","Aucune donnée de filtre fournie"
"No source specified","Aucune source spécifiée"
"No valid data sent","Aucune donnée valide envoyée"
"No writer specified","Aucun writer spécifié"
"Node does not has model token tag","Le nœud n'a pas d'attribut modèle"
"Not implemented yet","Pas encore implémenté"
"Please fix errors and re-upload file","Veuillez corriger les erreurs et uploadez de nouveau le fichier"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Veuillez corriger les erreurs et uploadez de nouveau le fichier ou cliquez simplement sur le bouton ""Importer"" pour ignorer les lignes comportant des erreurs"
"Products","Products"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Select File to Import","Select File to Import"
"Skip","Skip"
"Source file moving failed","Erreur lors du déplacement du fichier source"
"Source file path must be a string","Le chemin du fichier source doit être une chaîne de caractères"
"Source is not set","La source n'est pas définie"
"Status","Statut"
"There are no product types available for export","Aucun type de produit disponible pour l'export"
"There is no data for export","There is no data for export"
"To","To"
"Total size of uploadable files must not exceed %s","La taille totale des fichiers téléchargeables ne doit pas excéder %s"
"Unknown attribute filter type","Unknown attribute filter type"
"Uploaded file has no extension","Le fichier uploadé n'a pas d'extension"
"Validation finished successfully","Validation finished successfully"
"in rows","in rows"
"in rows:","in rows:"
