"Actions","Acties"
"Add Answer","Antwoord toevoegen"
"Add New Answer","Nieuw antwoord toevoegen"
"Add New Poll","Nieuwe poll toevoegen"
"Answer Title","Antwoordtitel"
"Answer Title:","Antwoordtitel:"
"Answer with the same title in this poll","Antwoord met dezelfde titel in deze poll"
"Are you sure you want to delete it?","Weet u zeker dat u het wilt verwijderen?"
"Assigned Answers","Toegewezen antwoorden"
"Closed","Gesloten"
"Community Poll","Peiling"
"Date Closed","Datum gesloten"
"Date Posted","Datum geplaatst"
"Delete","Verwijder"
"Delete Answer","Antwoord verwijderen"
"Delete Poll","Poll verwijderen"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","Bewerken antwoord ‘%s’"
"Edit Poll '%s'","Bewerken poll ‘%s’"
"Edit Poll Answer","Poll-antwoord bewerken"
"ID","ID"
"Invalid Answer.","Invalid Answer."
"New Poll","Nieuwe poll"
"Number of Responses","Aantal reacties"
"Open","Open"
"Poll Answers","Poll-antwoorden"
"Poll Information","Poll-gegevens"
"Poll Manager","Beheer poll"
"Poll Question","Poll-vraag"
"Poll information","Poll-gegevens"
"Poll with the same question","Poll met dezelfde vraag"
"Polls","Polls"
"Save Answer","Antwoord opslaan"
"Save Poll","Poll opslaan"
"Status","Status"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","Zichtbaar in"
"Vote","Stem"
"Votes Count","Aantal stemmen"
"Votes Count:","Aantal stemmen:"
