"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>：驗證碼區分大小寫。"
"After number of attempts to login","經過嘗試登陸"
"Always","總是"
"CAPTCHA","驗證碼"
"CAPTCHA Timeout (minutes)","驗證碼超時（分鐘）"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","如果選擇建立用戶""和""驗證碼""忘記密碼""的形式始終啟用"""
"Case Sensitive","大小寫"
"Displaying Mode","顯示模式"
"Enable CAPTCHA in Admin","在管理員啟用驗證碼"
"Enable CAPTCHA on Frontend","啟用前端驗證碼"
"Font","是"
"Forms","形式"
"If 0 is specified, CAPTCHA on the Login form will be always available.","如果指定0，驗證碼登錄表單將始終可用。"
"Incorrect CAPTCHA.","不正確驗證碼。"
"Number of Symbols","符號數"
"Number of Unsuccessful Attempts to Login","登錄嘗試失敗的數量"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","請指定最多8符號。允許使用範圍（如3-5）"
"Please type the letters below","請鍵入以下字母"
"Please type the letters from the image:","請從圖像中鍵入字母："
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","請使用字母（az或AZ）或數字（0-9），在這一領域。沒有空格或其他字符被允許<br>類似的字符（如""我，""L""""，""1""）由客戶正確識別下降的機會。"""
"Reload captcha","重新整理驗證碼"
"Symbols Used in CAPTCHA","在驗證碼中使用的符號"
