"%1$s has been updated in your wishlist.","Takip listenizdeki %1$s güncellendi."
"%d product(s) have been added to shopping cart: %s.","%d ürün sepete eklendi : %s."
"%s for ""%s"".","%s -> ""%s""."
"%s has been moved to wishlist %s","%s adlı ürün, %s takip listenizden kaldırıldı"
"%s's Wishlist","%s Takip Listesi"
"* Required Fields","* Zorunlu Alan"
"Add All to Cart","Hepsini Sepete Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Added From","Eklendi"
"An error occurred while adding item to wishlist.","Takip listenize ürün eklenirken bir sorun oluştu."
"An error occurred while adding item to wishlist: %s","Takip listenize ürün eklenirken bir sorun oluştu: %s"
"An error occurred while deleting the item from wishlist.","Takip listenizden ürün silinirken bir sorun oluştu."
"An error occurred while deleting the item from wishlist: %s","Takip listenizden ürün silinirken bir sorun oluştu: %s"
"An error occurred while updating wishlist.","Takip listesi güncellenirken sorun oluştu."
"Are you sure you want to remove this product from your wishlist?","Bu ürünü takip listenizden silmek istediğinizden emin misiniz ?"
"Are you sure you would like to remove this item from the wishlist?","Bu ürünü takip listesinden silmek istediğinizden emin misiniz ?"
"Back","Geri"
"Can\'t delete item from wishlist","Takip listesinden ürün silinemedi"
"Can\'t save description %s","Açıklama kaydedilemedi %s"
"Can\'t update wishlist","Takip listesi güncelenemiyor"
"Cannot add item to shopping cart","Sepete ürün eklenemiyor"
"Cannot add the following product(s) to shopping cart: %s.","Aşaıdaki ürün(ler) sepete eklenemiyor : %s."
"Cannot add the item to shopping cart.","Ürün sepete eklenemiyor."
"Cannot configure product","Ürün ayarlanamadı"
"Cannot load wishlist item","Takip listesi kaydı yüklenemedi"
"Cannot move item to wishlist","Ürün takip listenize eklenemedi"
"Cannot specify product.","Ürün seçilmedi."
"Cannot specify wishlist item.","Takip listesi kaydı belirtilmedi."
"Cannot specify wishlist.","Takip listesi seçilmedi."
"Cannot update wishlist","Takip listesi güncellenemiyor"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Takip listenize bir RSS akışı eklemek için bu kutuyu işaretleyin."
"Click for price","Fiyat için tıklayınız"
"Comment","Yorum"
"Comment:","Yorum :"
"Configure Wishlist Item","Takip listesi ürününü ayarla"
"Configured Price:","Ayarlanan Fiyat:"
"Could not find such wishlist","Böyle bir takip listesi bulunamadı"
"Could not find wishlist","Takip listesi bulunamadı"
"Customer My Account My Wishlist","Müşteri Hesabım Takip Listem"
"Customer My Account Wishlist Sharing Form","Müşteri Hesabım Takip Listesi Paylaşım Formu"
"Customer Shared Wishlist View","Müşteri Hesabım Paylaşılmış Takip Listesi Görünümü"
"Date Added","Eklenme Tarihi"
"Days in Wishlist","Takip Listesinde Kalma Süresi"
"Display Wishlist Summary","Takip Listesi Özeti Göster"
"Edit","Düzelt"
"Email Sender","Email Göndericisi"
"Email Template","Email Şablonu"
"Email address can\'t be empty.","Email adresi boş bırakılamaz."
"Email addresses, separated by commas","Email adresleri (virgülle ayırınız)"
"Enabled","Aktif"
"General Options","Genel Ayarlar"
"Go to Wishlist","Takip Listesine Git"
"Helper for wishlist options rendering doesn't implement required interface.","Takip Listesi seçenekleri için kullanılan Helper gerekli arayüzü oluşturmuyor."
"In stock","Stokta var"
"Last Added Items","Son Eklenenler"
"Message","Mesaj"
"My Wishlist","Takip Listem"
"My Wishlist (%d item)","Takip Listem (%d ürün)"
"My Wishlist (%d items)","Takip Listem (%d ürün)"
"My Wishlist <small>(%d)</small>","Takip Listem <small>(%d)</small>"
"My Wishlist Link","Takip Listem Bağlantısı"
"Options Details","Seçenek Detayları"
"Out of stock","Stokta Yok"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lütfen geçerli e-mail adresleri giriniz ve aralarında virgül kullanınız. Örnek: ahmet@domain.com, mehmet@baskadomain.com."
"Please input a valid email address.","Lütfen geçerli bir e-mail adresi giriniz."
"Please, enter your comments...","Lütfen yorumlarınızı giriniz..."
"Product","Ürün"
"Product Details and Comment","Ürün Detayları ve Yorum"
"Product(s) %s have required options. Each of them can be added to cart separately only.","%s adlı ürün(ler) zorunlu olarak doldurulması gereken seçeneklere sahipler. Her ürün sepete ayrı olarak eklenmeli."
"Product(s) %s have required options. Each product can only be added individually.","%s adlı ürün(ler) zorunlu olarak doldurulması gereken seçeneklere sahipler. Her ürün sadece ayrı olarak eklenebilir."
"RSS Feed","RSS Veri Akışı"
"RSS link to %s's wishlist","%s Takip Listesine RSS bağlantısı"
"Remove Item","Kayıt Sil"
"Remove This Item","Bu ürünü sil"
"Remove item","Ürünü sil"
"Requested cart item doesn't exist","İstenen ürün bulunamadı"
"Requested wishlist doesn't exist","İstenen takip listesi bulunamadı"
"Share Options","Paylaşım Seçenekleri"
"Share Wishlist","Takip Listesi Paylaş"
"Share Your Wishlist","Takip Listeni Paylaş"
"Sharing Information","Paylaşım Bilgisi"
"This Wishlist has no Items","Bu takip listesinde ürün yok"
"This product(s) is currently out of stock","Bu ürün(ler) stokta yok"
"Unable to add the following product(s) to shopping cart: %s.","Bu ürün(ler) sepete eklenemiyor : %s."
"Update Wishlist","Takip Listesini Güncelle"
"User Description","Kullanıcı Açıklaması"
"View Details","Detayları Göster"
"View Product","Ürünü Göster"
"What's this?","Bu nedir ?"
"Wishlist","Takip Listesi"
"Wishlist Section","Takip Listesi Bölümü"
"Wishlist Sharing","Takip Listesi Paylaşımı"
"Wishlist could not be created.","Takip listesi oluşturulamadı."
"Wishlist is empty now.","Takip listesi boş."
"You have no items in your wishlist.","Takip listenizde ürün yok."
"Your Wishlist has been shared.","Takip listeniz paylaşıldı."
