" Copy"," Copy"
"Action","Actie"
"Add New Template","Nieuwe template toevoegen"
"Add to Queue","Aan wachtrij toevoegen"
"Allow Guest Subscription","Allow Guest Subscription"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Are you sure that you want to delete this template?","Weet u zeker dat u deze template wilt verwijderen?"
"Are you sure that you want to strip all tags?","Weet u zeker dat u alle tags wilt ontkoppelen?"
"Back","Terug"
"Cancel","Annuleren"
"Cancelled","Geannuleerd"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Bevestiging e-mail afzender"
"Confirmation Email Template","Bevestiging e-mail template"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Omzetten naar platte tekst"
"Create Newsletter Template","Nieuwsbrief-template aanmaken"
"Customer","Klant"
"Customer First Name","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Datum toegevoegd"
"Date Updated","Datum bijgewerkt"
"Delete","Verwijderen"
"Delete Selected Problems","Geselecteerde problemen verwijderen"
"Delete Template","Template verwijderen"
"Do you really want to cancel the queue?","Weet u zeker dat u deze wachtrrij wilt annuleren?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Nieuwsbrief bewerken"
"Edit Newsletter Template","Nieuwsbrief-template bewerken"
"Edit Queue","Wachtrij bewerken"
"Edit Template","Template bewerken"
"Email","E-mail"
"Enter your email address","Voer uw e-mailadres in"
"Error Code","Foutcode"
"Error Text","Fouttekst"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast"
"ID","ID"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Message","Bericht"
"Need to Confirm","Moet bevestigen"
"New Newsletter Template","Nieuwe nieuwsbrief-template"
"New Template","Nieuw template"
"Newsletter","Nieuwsbrief"
"Newsletter Message Preview","Preview nieuwsbrief-bericht"
"Newsletter Problem Reports","Nieuwsbrief probleemrapporten"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Section","Sectie Nieuwsbrief"
"Newsletter Sign-up:","Aanmelden voor nieuwsbrief:"
"Newsletter Styles","Nieuwsbrief stijlen"
"Newsletter Subscribers","Nieuwsbrief abonnees"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","Nieuwsbrief abonnementen"
"Newsletter Templates","Nieuwsbrief templates"
"Newsletter subscription confirmation","Nieuwsbrief abonnementbevestiging"
"Newsletter subscription success","Nieuwsbrief abonnementscore"
"Newsletter unsubscription success","Nieuwsbrief opzeggingenscore"
"No Templates Found","Geen templates gevonden"
"No problems found.","Geen probleem gevonden."
"No subscribers selected.","Geen abonnees geselecteerd."
"Not Activated","Not Activated"
"Not Sent","Niet verzonden"
"Pause","Pauzeren"
"Paused","Gepauzeerd"
"Please enter a valid email address.","Vul een geldig e-mailadres in a.u.b."
"Please enter new template name","Geef een nieuwe templatenaam op aub"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Selecteer abonnees aub."
"Preview","Voorbeeld"
"Preview Template","Template vooraf bekijken"
"Processed","Verwerkt"
"Queue Date Start","Wachtrij startdatum"
"Queue Finish","Wachtrij einde"
"Queue Information","Wachtrijgegevens"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Wachtrij start"
"Queue Subject","Wachtrij onderwerp"
"Recipients","Ontvangers"
"Reset","Herstellen"
"Resume","Doorgaan"
