"%s was added to your shopping cart.","%s tika pievienota Jūsu grozam."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* Obilgāti aizpildāmie lauki"
"Add New Address","Pievienot jaunu adresi"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","Ielikt grozā"
"Add to Compare","Pievienot salīdzināšanai"
"Add to Wishlist","Ielikt vēlmju sarakstā"
"Additional Product Info","Additional Product Info"
"Address","Adrese"
"Address %s of %s","Adrese %s no %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Atļaut norēķināties nereģistrējoties"
"Already registered?","Reģistrētiem lietotājiem"
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Rēķināt atlaidi"
"Are you sure you would like to remove this item from the shopping cart?","Izvākt preci no pirkumu groza?"
"Back","Atpakaļ"
"Back to Billing Information","Back to Billing Information"
"Back to Select Addresses","Back to Select Addresses"
"Back to Shipping Information","Atpakaļ pie piegādes informācijas"
"Back to Shopping Cart","Back to Shopping Cart"
"Based on your selection, you may be interested in the following items:","Ņemot vērā Jūsu izvēli, iespējams, Jūs intresēs arī šādas preces:"
"Billing Address","Rēķina adrese"
"Billing Information","Rēķina sagatavošana"
"Billing Information - %s","Rēķina informācija - %s"
"Cancel Coupon","Atcelt kuponu"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Cannot remove the item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Maksājuma kartes pārbaudes nummura vizuālais paraugs"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Kopsumma:"
"Change","Change"
"Change Billing Address","Mainīt rēķina adresi"
"Checkbox Text","Checkbox Text"
"Checkout","Noformēt pasūtījumu"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","Norēķināšanās veids"
"Checkout Options","Apmaksas opcijas"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Norēķināties nereģistrējoties"
"Checkout as a Guest or Register","Reģistrēties pirms norēķināšanās?"
"Checkout with Multiple Addresses","Norēķins ar vairākām adresēm"
"City","Pilsēta/pagasts"
"Clear Shopping Cart","Clear Shopping Cart"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to continue shopping."
"Close","Aizvērt"
"Company","Uzņēmums"
"Condition Name","Condition Name"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Atkārtot paroli"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Turpināt"
"Continue Shopping","Turpināt iepirkšanos"
"Continue to Billing Information","Turpināt uz rēķina informāciju"
"Continue to Review Your Order","Turpināt uz pasūtījuma pārskatīšanu"
"Continue to Shipping Information","Turpināt uz piegādes informāciju"
"Country","Valsts"
"Coupon code ""%s"" is not valid.","Kupona kods ""%s"" nav derīgs."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Create Billing Address","Izveidot adresi rēķinam"
"Create Shipping Address","Izveidot adresi piegādei"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Customer Information"
"Customer's information","Customer's information"
"Data saving problem","Datu saglabāšanas veids"
"Default Billing","Noklusētais rēķins"
"Default Shipping","Noklusētais piegādes veids"
"Delete Condition","Delete Condition"
"Details","Details"
"Disabled","Disabled"
"Discount Codes","Atlaides"
"Display Cart Summary","Parādīt groza kopsavilkumu"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Attēlot preču daudzumus"
"Display number of items in cart","Rādīt preču skaitu grozā"
"Display number of items in wishlist","Display number of items in wishlist"
"Easy access to your order history and status","Piekļuvi pirkumu vēsturei un pasūtījumu izpildei"
"Edit","Mainīt"
"Edit Address","Labot adresi"
"Edit Billing Address","Labot rēķina adresi"
"Edit Condition","Edit Condition"
"Edit Items","Mainīt"
"Edit Shipping Address","Labot piegādes adresi"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Mainīt groza saturu"
"Edit item","Edit item"
"Edit item parameters","Edit item parameters"
"Email Address","E-pasta adrese"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Enabled"
"Enter a New Address","Pievienot jaunu adresi"
"Enter your coupon code if you have one.","Ja jums ir atlaižu karte, ievadiet atlaides kodu."
"Enter your destination to get a shipping estimate.","Norādiet piegādes adresi."
"Estimate Shipping and Tax","Nodokļu/Piegādes aprēķins"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Ērtāku norēķināšanos"
"Fax","Fakss"
"Forgot an Item?","Piemirsās ko ielikt?"
"Forgot your password?","Piemirsās parole?"
"Get a Quote","Aprēķināt"
"Get list of available payment methods","Get list of available payment methods"
"Get list of available shipping methods","Get list of available shipping methods"
"Get list of products in shopping cart","Get list of products in shopping cart"
"Get terms and conditions","Get terms and conditions"
"Get total prices for shopping cart","Get total prices for shopping cart"
"Gift Message","Gift Message"
"Grand Total:","Pavisam kopā:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Invalid data."
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid method: %s","Invalid method: %s"
"Invalid shipping method.","Nepareizs piegādes veids"
"Item not found or already ordered","Item not found or already ordered"
"Items","Preces"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Kļūda ielādējot klienta cenas piedāvājumu"
"Loading next step...","Uzgaidiet..."
"Login","Ielogoties"
"Login/Registration Before","Login/Registration Before"
"Manage Terms and Conditions","Manage Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimālais atļautais daudzums piegādei uz vairākām adresēm ir %s"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Move"
"Move to Wishlist","Pievienot vēlmju sarakstam"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
