"Action","Åtgärd"
"An error occurred while creating the backup.","Ett fel uppstod när säkerhetskopia skulle skapas."
"An error occurred while writing to the backup file ""%s"".","Ett fel uppstod vid sparande till säkerhetskopian ""%s""."
"Are you sure you want to delete the selected backup(s)?","Är du säker på att du vill ta bort de markerade säkerhetskopiorna?"
"Backup Type","Typ av säkerhetskopia"
"Backup file ""%s"" cannot be read from or written to.","Det går inte att läsa från eller skriva till säkerhetskopian ""%s"" "
"Backup file ""%s"" does not exist.","Säkerhetskopian ""%s"" finns inte."
"Backup file does not exist.","Säkerhetskopian finns inte."
"Backup file handler was unspecified.","Backup file handler was unspecified."
"Backup file not found","Säkerhetskopian kunde inte hittas."
"Backup file path was not specified.","Du har inte angett sökväg till säkerhetskopia."
"Backups","Säkerhetskopior"
"Cannot read backup file.","Det går inte att läsa från säkerhetskopian."
"Create Backup","Skapa säkerhetskopia"
"Database","Databas"
"Database Backup","Säkerhetskopia databas"
"Database and Media","Databas och media"
"Database and Media Backup","Säkerhetskopia databas / media"
"Database was successfuly backed up.","Säkerhetskopia av databas har skapats."
"Download","Ladda ner"
"Enable Scheduled Backup","Aktivera schemalagd säkerhetskopia"
"Failed to connect to FTP","Det gick inte att ansluta till FTP"
"Failed to delete one or several backups.","Det gick inte att ta bort en eller flera säkerhetskopior."
"Failed to rollback","Failed to rollback"
"Failed to validate FTP","Failed to validate FTP"
"Frequency","Frequency"
"Invalid Password.","Invalid Password."
"Maintenance Mode","Maintenance Mode"
"Name","Name"
"Not enough free space to create backup.","Not enough free space to create backup."
"Not enough permissions to create backup.","Not enough permissions to create backup."
"Not enough permissions to perform rollback","Not enough permissions to perform rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback."""
"Put store on the maintenance mode while backup's creation","Put store on the maintenance mode while backup's creation"
"Rollback","Rollback"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Size, Bytes","Size, Bytes"
"Start Time","Start Time"
"System","System"
"System (excluding Media)","System (exkl. media)"
"System Backup","System Backup"
"System couldn't put store on the maintenance mode","System couldn't put store on the maintenance mode"
"The database and media backup has been created.","The database and media backup has been created."
"The database backup has been created.","The database backup has been created."
"The file was compressed with Zlib, but this extension is not installed on server.","The file was compressed with Zlib, but this extension is not installed on server."
"The selected backup(s) has been deleted.","The selected backup(s) has been deleted."
"The system (excluding Media) backup has been created.","The system (excluding Media) backup has been created."
"The system backup has been created.","The system backup has been created."
"Time","Tid"
"Type","Typ"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Unable to save the cron expression.","Unable to save the cron expression."
"Wrong order of creation for new backup.","Wrong order of creation for new backup."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","You do not have sufficient permissions to enable Maintenance Mode during this operation."
