"A block identifier with the same properties already exists in the selected store.","Det finns redan ett block med samma id i den valda butiksvyn."
"A directory with the same name already exists. Please try another folder name.","En mapp med samma namn finns redan. Prova med ett annat namn."
"A page URL key for specified store already exists.","En sida med samma url nyckel finns redan för den valda butiksvyn."
"Action","Åtgärd"
"Add New Block","Nytt block"
"Add New Page","Ny sida"
"All Countries","Alla länder"
"An error occurred while saving the page.","Ett fel uppstod när sidan sparades."
"Anchor Custom Text","Förankra anpassad text"
"Anchor Custom Title","Förankra anpassad titel"
"Are you sure you want to delete current folder?","Är du säker på att du vill ta bort den här mappen?"
"Are you sure you want to delete the selected file?","Är du säker på att du vill ta bort den markerade filen?"
"Block","Block"
"Block Information","Blockinformation"
"Block Title","Blocktitel"
"CMS","CMS"
"CMS Content Wrapper","CMS Wrapper för innehåll"
"CMS Home Page","CMS Hemsida"
"CMS No Cookies Page","CMS Sida för inga cookies"
"CMS No Route Page","CMS Ingen sida hittades"
"CMS No-Route Page","CMS Ingen sida hittades"
"CMS Page","CMS sida"
"CMS Page Link","Länk till CMS sida"
"CMS Page Link Block Template","CMS blockmall för sidolänk"
"CMS Page Link Inline Template","CMS inlinemall för sidolänk"
"CMS Pages (All)","CMS sidor (Alla)"
"CMS Static Block","CMS Statiskt block"
"CMS Static Block Default Template","CMS Förvald mall till statiskt block"
"Cannot create new directory.","Det går inte att skapa en ny mapp."
"Cannot delete directory %s.","Det går inte att ta bort mapp %s."
"Cannot delete root directory %s.","Det går inte att ta bort rotmappen %s."
"Cannot upload file.","Det går inte att ladda upp filen."
"Collapse All","Göm alla"
"Content","Innehåll"
"Content Heading","Sidtitel"
"Content Management","CMS"
"Contents of a Static Block","Innehåll för ett statiskt block"
"Create Folder...","Skapa mapp..."
"Custom Design","Anpassad design"
"Custom Design From","Anpassad design från"
"Custom Design To","Anpassad design till"
"Custom Layout","Anpassad layout"
"Custom Layout Update XML","XML uppdatering av anpassad layout"
"Custom Theme","Anpassat tema"
"Customer Tax Class Information","Information om momsklass för kunder"
"Date Created","Skapades den"
"Delete Block","Ta bort block"
"Delete File","Ta bort fil"
"Delete Folder","Ta bort mapp"
"Delete Page","Ta bort sidan"
"Description","Meta beskrivning"
"Design","Design"
"Disabled","Inaktiverad"
"Disabled Completely","Helt inaktiverad"
"Disabled by Default","Inaktiverad som förval"
"Edit Block","Redigera block"
"Edit Block '%s'","Redigerar block '%s'"
"Edit Page","Redigera sida"
"Edit Page '%s'","Redigerar sidan '%s'"
"Enable WYSIWYG Editor","Aktivera Wysiwyg editor"
"Enabled","Aktiverad"
"Enabled by Default","Aktiverad som förval"
"Expand All","Öppna alla"
"General Information","Allmän information"
"Go to Home Page","Gå till hemsidan"
"Home","Hem"
"ID","Id"
"Identifier","Id"
"If empty, the Page Title will be used","Om denna lämnas tom så används sidans Meta titel istället."
"Images (%s)","Bilder (%s)"
"Insert File","Infoga fil"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Ogiltigt namn för mapp. Använd alfanumeriska tecken, understreck eller bindestreck."
"Keywords","Meta nyckelord"
"Last Modified","Senast ändrad"
"Layout","Layout"
"Layout Update XML","XML för layoutuppdatering"
"Link to a CMS Page","Länk till CMS sida"
"Manage Pages","Hantera sidor"
"Media Gallery","Mediagalleri"
"Media Storage","Medialagring"
"Meta Data","Metadata"
"Meta Description","Meta beskrivning"
"Meta Keywords","Meta nyckelord"
"New Block","Nytt block"
"New Folder Name:","Namn på ny mapp:"
"New Page","Ny sida"
"No files found","Inga filer hittades"
"Page Information","Information om sida"
"Page Layout","Sidlayout"
"Page Status","Sidstatus"
"Page Title","Meta titel"
"Pages","Sidor"
"Product Tax Class Information","Information om momsklass för produkter"
"Redirect to CMS-page if Cookies are Disabled","Vidarebefordra till CMS sida om cookies är inaktiverade"
"Relative to Website Base URL","Relativ till webbplatsens bas URL"
"Save Block","Spara block"
"Save Page","Spara sida"
"Save Process","Spara process"
"Select Block...","Välj block..."
"Select Page...","Välj sida..."
"Show Breadcrumbs for CMS Pages","Visa breadcrumbs för CMS sidor"
"Show Notice if JavaScript is Disabled","Visa meddelande om Javascript är inaktiverat"
"Static Blocks","Statiska block"
"Status","Status"
"Storage Root","Lagringsrot"
"Store View","Butiksvy"
"Template","Mall"
"The block has been deleted.","Blocket har tagits bort."
"The block has been saved.","Blocket har sparats."
"The directory %s is not writable by server.","Mappen %s är inte skrivbar."
"The page URL key cannot consist only of numbers.","Sidans URL nyckel kan inte bestå av endast siffror."
"The page URL key contains capital letters or disallowed symbols.","Sidans URL nyckel innehåller stora bokstäver eller otillåtna tecken."
"The page has been deleted.","Sidan har tagits bort."
"The page has been saved.","Sidan har sparats."
"The static block content cannot contain  directive with its self.","Det statiska blocket kan inte innehålla länkade referenser till sig själv."
"This block no longer exists.","Blocket finns inte längre."
"This page no longer exists.","Sidan finns inte längre."
"Title","Titel"
"URL Key","URL nyckel"
"Unable to find a block to delete.","Det gick inte att hitta ett block att ta bort."
"Unable to find a page to delete.","Det gick inte att hitta en sida att ta bort."
"WYSIWYG Options","Wysiwyg alternativ"
"px.","px."
