"(Make sure you keep it in a safe place.)","(הקפד לשמור במקום בטוח.)"
"(Optional. Leave blank for no prefix)","(אופציונלי. ללא תחילית השאר ריק )"
"(ver. %s)","(גרסה. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.)."
"Admin Path","Admin Path"
"After successfull installation please click the button below.","לאחר השלמת ההתקנה לחץ על הכפתור התחתון"
"All packages were installed, click 'OK' to continue with installation.","All packages were installed, click 'OK' to continue with installation."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatively you could try the 'Manual Downloads and Upgrades' method."
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more)."
"Check out our","בדוק את ה"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required."
"Check this box only if it is not possible to automatically validate the Base URL.","Check this box only if it is not possible to automatically validate the Base URL."
"Choose this if you would like to test frontend and backend functionality.","בחר אם ברצונך לבחון את הפוקציונליות של המערכת"
"Configuration","הגדרות"
"Confirm Password","אימות סיסמא"
"Connection","קישור"
"Continue","המשך"
"Continue After Manual Download","המשך לאחר הורדה ידנית"
"Continue Full Download / SVN Installation","המשך התקנה מלאה / SVN"
"Create Admin Account","צור חשבון מנהל"
"Currently this is the most stable state available for Magento packages.","Currently this is the most stable state available for Magento packages."
"Database","בסיס נתונים"
"Database Connection","קישור לבסיס נתונים"
"Database Name","מסד נתונים - שם מסד"
"Database Name cannot be empty.","Database Name cannot be empty."
"Database Type","Database Type"
"Database connection error.","Database connection error."
"Database host","מסד נתונים - שרת"
"Database server does not support the InnoDB storage engine.","Database server does not support the InnoDB storage engine."
"Database user name","מסד נתונים - שם משתמש"
"Database user password","מסד נתונים - סיסמא"
"Default Currency","מטבע ברירת מחדל"
"Download","הורד"
"Download Magento Core Modules and Updates","הורד את מודולי הליבה והעידכונים של מג'נטו"
"Downloading and installing Magento, please wait...","מוריד ומתקין את מג'נטו, אנא המתן...."
"Email","דואר אלקטרוני"
"Email Address","דואר אלקטרוני"
"Enable Charts","Enable Charts"
"Enable this option if you want the charts to be displayed on Dashboard.","Enable this option if you want the charts to be displayed on Dashboard."
"Enable this option only if you have SSL available.","אפשר את האופציה הזו רק בתנאי שקיים SSL"
"Encryption Key","מפתח הצפנה"
"File System","מערכת קבצים"
"First Name","שם פרטי"
