"%s - Discounts and Coupons","%s - İndirimler ve Kuponlar"
"%s - Special Products","%s - Özel Ürünler"
"%s RSS Feed","%s RSS Akışı"
"%s has reached a quantity of %s.","%s, %s için belirlenen adet limitini geçti."
"%s\'s Wishlist","%s\'s Takip Listesi"
"Cannot retrieve the wishlist","Takip listesi alınamadı"
"Catalog","Katalog"
"Category Feeds","Kategori Veri Akışı"
"Click for price","Fiyat için tıklayınız"
"Comment: %s<br/>","Yorum: %s<br/>"
"Coupons/Discounts","Kuponlar/İndirimler"
"Current Status: %s<br/>","Durum : %s<br/>"
"Customer Name: %s","Müşteri Adı : %s"
"Customer Order Status Notification","Müşteri Sipariş Durum Bildirimi"
"Details for %s #%s"," %s için Detaylar / #%s"
"Discount","İndirim"
"Discount (%s)","İndirim (%s)"
"Enable RSS","RSS'i aç"
"Error in processing xml. %s","XML oluşturmada hata. %s"
"From:","Gönderen :"
"Get Feed","Veri Akışı Al"
"Gift Message","Hediye Mesajı"
"Grand Total","Genel Toplam"
"Low Stock Products","Stoku Azalmış Ürünler"
"Message:","Mesaj :"
"Miscellaneous Feeds","Çeşitli Veri Akışları"
"New Orders","Yeni Siparişler"
"New Products","Yeni Ürünler"
"New Products from %s","%s Yeni Ürünler"
"Notified Date: %s<br/>","Bildirim Tarihi : %s<br/>"
"Order # %s Notification(s)","Sipariş # %s Bildirim(ler)i"
"Order #%s created at %s","#%s Numaralı sipariş %s tarihinde oluşturuldu"
"Pending product review(s)","Bekleyen Ürün Yorumları"
"Product: ""%s"" review By: %s","Ürün : ""%s"" Yorumlayan : %s"
"Product: <a href=""%s"">%s</a> <br/>","Ürün : <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","%s tarafından etiketlenen ürünler"
"Purchased From: %s","Satıcı : %s"
"RSS","RSS"
"RSS Feeds","RSS Akışları"
"RSS Feeds List","RSS Akış Listesi"
"RSS Feeds Section","RSS Veri Akışı Bölümü"
"Review: %s <br/>","Yorum : %s <br/>"
"Rss Config","Rss Ayarları"
"Shipping &amp; Handling","Teslim Alma &amp; Teslimat"
"Special Products","Özel Ürünler"
"Store: %s <br/>","Mağaza : %s <br/>"
"Subtotal","Ara Toplam "
"Summary of review: %s <br/>","Yorum özeti : %s <br/>"
"Tags Products","Ürün Etiketleri"
"Tax","Vergi"
"There are no Rss Feeds","Hiç RSS akışı yok"
"To:","Alıcı :"
"Top Level Category","En üst kategori"
"Total: %s<br/>","Toplam : %s<br/>"
"Wishlist","Takip Listesi"
"click <a href=""%s"">here</a> to view the review","Yorumu görmek için <a href=""%s"">BURAYA</a> tıklayınız"
