"%s Index process is working now. Please try run this process later.","குறியீட்டு %s செயல்பாடு இப்போது வேலை செய்கிறது. பின்னர் இந்த இயக்கத்தினை  முயற்சிக்கவும்."
"%s index was rebuilt.","%s  குறியீட்டு மீண்டும் உருவாக்கப்பட்டுள்ளது "
"'%s' Index Process Information","'%s' குறியீட்டு முறை தகவல்"
"Action","செயல்"
"Cannot initialize the indexer process.","சுட்டுவரிசையாக்கி செயல்முறையை துவக்க முடியாது."
"Change Index Mode","குறியீட்டு முறையை மாற்ற"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","கேச் வகைகளை புதிபிக்கவும் <a href=""%s"">கேச் மேலாண்மைக்கு</a> செல்லவும் இங்கே சொடுக்கவும் "
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","குறியீட்டினை புதிபிக்கவும் <a href=""%s"">குறியீட்டினை மேலாண்மை</a> செய்யவும் இங்கே சொடுக்கவும் "
"Delete","நீக்கு"
"Description"," விளக்கம் "
"Disable","முடக்கவும்"
"Enable","இயலுமைப்படுத்து "
"General","பொது அமைப்புகள்"
"Index","குறியீட்டெண்"
"Index Description","குறியீட்டெண் விளக்கம்"
"Index Management","குறியீட்டு மேலாண்மை"
"Index Mode","குறியீட்டு முறை"
"Index Name","குறியீட்டு பெயர் "
"Index mode","குறியீட்டு முறை"
"Indexer code is not defined.","சுட்டுவரிசையாக்கி குறியீடு வரையறுக்கப்படவில்லை "
"Indexer model is not defined.","சுட்டுவரிசையாக்கி மாதிரி வரையறுக்கப்படவில்லை "
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","சுட்டுவரிசையாக்கி மாதிரி Mage_Index_Model_Indexer_Abstract நீட்டிக்க வேண்டும்."
"Manual Update","கைகளால் புதுப்பிக்க"
"Mode","முறை"
"Never","என்றும், எப்பொழுதும் இல்லாத நிலையில்"
"No","இல்லை"
"One or more of the Indexes are not up to date:","ஒன்று அல்லது அதற்க்கு மேலான குறியீட்டுகள்  இன்றைய தேதி வரை இல்லை "
"Please select Index(es)","குறியீடுகளை  தேர்ந்தெடுக்கவும்"
"Please select Indexes","குறியீடுகளை  தேர்ந்தெடுக்கவும்"
"Process Information","செயல்முறை தகவல்"
"Processing","நடைமுறைப்படுத்துவதற்கு"
"Ready","தயாராக"
"Refresh","ரத்து செய்
"
"Reindex Data","தரவினை மீண்டும் குறியீட்டு"
"Reindex Required","மீண்டும் குறியீட்டு  உருவாக்கப்படவேண்டும் "
"Revoke","ரத்து செய்"
"Status","நிலை "
"System","முறை"
"The index has been saved.","குறியீட்டு சேமிக்கப்பட்டது."
"There was a problem with reindexing process.","குறியீட்டு உருவாக்கத்தில் ஒரு பிரச்சனை இருந்தது."
"There was a problem with saving process.","சேமிக்கும் செயல்முறையில் ஒரு பிரச்சனை இருந்தது."
"Total of %d index(es) have changed index mode.","மொத்தமாக  %d குறியீட்டெண் (களை)  குறியீட்டு முறை மாறிவிட்டது."
"Total of %d index(es) have reindexed data.","மொத்தமாக  %d குறியீட்டெண் (களை)  மறுமுறை  குறியீட்டு மாறிவிட்டது."
"Update Required","புதுப்பிக்க வேண்டியுள்ளது "
"Update on Save","சேமிக்கும் பொழுது புதுப்பிக்கவும் "
"Updated At","புதுப்பிக்கப்பட்ட நேரம் "
"Yes","ஆம்"
