"A block identifier with the same properties already exists in the selected store.","அதே பண்புகளை கொண்ட ஒரு தொகுதி அடையாளங்காட்டி தேர்ந்தெடுக்கப்பட்ட கடையில் ஏற்கனவே உள்ளது."
"A directory with the same name already exists. Please try another folder name.","இதே பெயரை கொண்ட அடைவு ஏற்கனவே உள்ளது. மற்றொரு கோப்புறை பெயரை முயற்சிக்கவும்."
"A page URL key for specified store already exists.","குறிப்பிட்ட கடையில் யுஆர்எல் விசை ஏற்கனவே உள்ளது."
"Action","செயல்"
"Add New Block","புதிய தொகுதி சேர்க்க"
"Add New Page","புதிய பக்கம் சேர்க்க"
"All Countries","அனைத்து நாடுகள்"
"An error occurred while saving the page.","பக்கத்தை சேமிக்கும் பொழுது பிழை ஏற்பட்டுள்ளது "
"Anchor Custom Text","தனித்தன்மை வாய்ந்த இணைப்பின் தலைப்பு "
"Anchor Custom Title","தனித்தன்மை வாய்ந்த இணைப்பின் தலைப்பு "
"Are you sure you want to delete current folder?","நீங்கள் தற்போதைய அடைவை நீக்க வேண்டுமா?"
"Are you sure you want to delete the selected file?","நீங்கள் தேர்ந்தெடுத்த கோப்பை  நீக்க வேண்டுமா?"
"Block","தொகுதி "
"Block Information","தொகுதி பற்றிய தகவல்கள் "
"Block Title","தொகுதியின் தலைப்பு "
"CMS","சிஎம்ஸ் "
"CMS Content Wrapper","சிம்ஸ் உள்ளடக்க போர்வை"
"CMS Home Page","சிஎம்ஸ் முகப்பு பக்கம்"
"CMS No Cookies Page","குக்கீகள்  இல்லா  சிஎம்ஸ் பக்கம் "
"CMS No Route Page","சிஎம்ஸ் பாதை இல்லா பக்கம் "
"CMS No-Route Page","சிஎம்ஸ் பாதை இல்லா பக்கம் "
"CMS Page","சிஎம்ஸ்  பக்கம் "
"CMS Page Link","சிஎம்ஸ்  பக்க இணைப்பு "
"CMS Page Link Block Template","சிஎம்ஸ் பக்க இணைப்பு தொகுதி டெம்ப்ளேட்"
"CMS Page Link Inline Template","சிஎம்ஸ்  பக்க இணைப்பு இன்லைன் டெம்ப்ளேட்"
"CMS Pages (All)","சீஎம்ஸ் பக்கம் (அனைத்து பக்கங்கள்)"
"CMS Static Block","சிஎம்ஸ் நிலையான தொகுதி"
"CMS Static Block Default Template","சிஎம்ஸ் நிலையான தொகுதி இயல்புநிலை டெம்ப்ளேட்டை"
"Cannot create new directory.","புதிய அடைவை உருவாக்க முடியாது."
"Cannot delete directory %s.","%s அடைவுகள் நீக்க முடியாது."
"Cannot delete root directory %s.","ரூட் அடைவுகள் நீக்க முடியாது %s."
"Cannot upload file.","கோப்பிணை  பதிவேற்ற முடியாது"
"Collapse All","அனைத்தையும் சுருக்குக "
"Content","உள்ளடக்கம்"
"Content Heading","உள்ளடக்கத்தின்   தலைப்பு "
"Content Management","உள்ளடக்க மேலாண்மை"
"Contents of a Static Block","நிலையான தொகுதியின்  உள்ளடக்கம் "
"Create Folder...","அடைவு உருவாக்கு"
"Custom Design","விருப்ப வடிவமைப்பு"
"Custom Design From","விருப்ப வடிவமைப்பு இதிலிருந்து "
"Custom Design To","விருப்ப வடிவமைப்பு இதுவரை "
"Custom Layout","தனிபயன் லே-அவுட் "
"Custom Layout Update XML","தனிபயன் லே - அவுட் மேம்படுத்தல் xml "
"Custom Theme","தனிபயன் தீம்"
"Customer Tax Class Information","வாடிக்கையாளர் வரி வகுப்பு தகவல்"
"Date Created","உருவாக்கப்பட்ட தேதி "
"Delete Block","தொகுதியை நீக்கு"
"Delete File","கோப்பை நீக்கு"
"Delete Folder","அடைவை நீக்கு "
"Delete Page","பக்கத்தை நீக்கு"
"Description"," விளக்கம் "
"Design","வடிவமைப்பு"
"Disabled","முடக்கப்பட்டுள்ளது"
"Disabled Completely","முழுமையாக முடக்கப்படுள்ளது "
"Disabled by Default","இயல்புநிலையில்  முடக்கப்பட்டது"
"Edit Block","தொகுதியை திருத்தவும்"
"Edit Block '%s'","தொகுதியை திருத்தவும் %s "
"Edit Page","பக்கத்தை  திருத்தவும்"
"Edit Page '%s'","பக்கத்தை  திருத்தவும் %s"
"Enable WYSIWYG Editor","WYSIWYG எடிட்டரை  செயல்படுத்தவும் "
"Enabled","இயலுமைப்படுத்து "
"Enabled by Default","இயல்பாகவே செயல்படுத்தப்பட்டுள்ளன"
"Expand All","அனைத்தையும்  விரிவுபடுத்தவும்"
"General Information","பொது தகவல்"
"Go to Home Page","முகப்பு பக்கம் செல்ல"
"Home","முகப்பு"
"ID","குறியீடு "
"Identifier","இனங்காட்டி"
"If empty, the Page Title will be used","காலியாக இருந்தால், பக்க தலைப்பு பயன்படுத்தப்படும்"
"Images (%s)","படங்கள் (% s)"
"Insert File","கோப்பை செருகு"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","தவறான கோப்புறை பெயர். தயவு செய்து எண்ணெழுத்து எழுத்துக்களை, அடிக்கோடு  மற்றும் கோடுகள் பயன்படுத்தவும்."
"Keywords","சிறப்பு சொற்கள்"
"Last Modified","கடைசியாக மாற்றப்பட்ட தேதி "
"Layout","லே-அவுட் "
"Layout Update XML","லே - அவுட் மேம்படுத்தல் xml "
"Link to a CMS Page","ஒரு CMS பக்கத்திற்கான  இணைப்பு"
"Manage Pages","பக்கங்களை நிர்வகி"
"Media Gallery","ஊடக தொகுப்பு"
"Media Storage","ஊடக சேமிப்பு"
"Meta Data","மெட்டா தரவு"
"Meta Description","மெட்டா விளக்கம்"
