"-- Please select --","--தேர்ந்தெடுக்க--"
"Allowed Currencies","அனுமதிக்கப்பட்ட நாணயங்கள் "
"Base Currency","மூல நாணயம்"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","அடிப்படை நாணயம் அனைத்து ஆன்லைன் கட்டணம் நடவடிக்கைகளுக்கு பயன்படுத்தப்படுகிறது. நோக்கம் அட்டவணை விலை நோக்கத்தை (""பட்டியல்""> ""விலை""> ""பட்டி விலை நோக்கம்"") சார்ந்து வரையறுக்கப்படுகிறது என்பதை விளக்குகிறது."
"Can\'t convert rate from ""%s-%s"".","""%s-%s"" இருந்து மாற்றமுடியாத விகிதம்."
"Cannot retrieve rate from %s.","விகிதம் %sலிருந்து  மீட்டெடுக்க முடியாது."
"Connection Timeout in Seconds","நொடிகளில்  இணைப்பு காலாவதியானது"
"Continue &raquo;","தொடர்ந்து »"
"Country","நாடு "
"Country API","நாட்டின் ஏபிஐ"
"Country and Format Type combination should be unique","நாடு மற்றும் வடிவமை வகை சேர்க்கை பிரத்யேகமாக  இருக்க வேண்டும்"
"Currency","நாணயம்"
"Currency Options","நனைய தெரிவுகள் "
"Currency Setup","நாணய நிறுவல்"
"Currency Update Warnings","நாணய மேம்படுத்தல் எச்சரிக்கைகள்"
"Default Display Currency"," நாணயத்தின் இயல்புநிலை காட்சி"
"Directory","அடைவு"
"Display not required State"," காட்ட தேவை இல்லாத மாநிலம்"
"Enabled","இயலுமைப்படுத்தப்பட்டது"
"Error Email Recipient","மின்னஞ்சல் பெறுநரில் பிழை "
"Error Email Sender","மின்னஞ்சல் அனுப்புநரில் பிழை "
"Error Email Template","மின்னஞ்சல் டெம்ப்ளேடில் பிழை "
"FATAL ERROR:","அபாயகரமான பிழை"
"Frequency","எவ்வளவு முறை"
"Installed Currencies","நிறுவப்பட்ட நாணயங்கள்"
"Invalid Import Service specified.","தவறான இறக்குமதி சேவை குறிப்பிடப்பட்டுள்ளது "
"Invalid country code: %s","தவறான நாட்டின் குறியீடுகள்: %s"
"Invalid rates received","தவறான விகிதங்கள் பெறப்பட்டுள்ளது "
"Invalid target currency.","செல்லாத  நாணய இலக்கு"
"List of countries","நாடுகளின் பட்டியல் "
"List of regions in specified country","குறிப்பிட்ட நாட்டின் உள்ள  பகுதிகளின்  பட்டியல்"
"Postal Code is Optional for the following countries"," பின்வரும் நாடுகளுக்கு தபால் கோட் விருப்ப தேர்வாக  உள்ளது"
"Region","பிராந்தியம்"
"Region API","பிராந்திய ஏபிஐ"
"Scheduled Import Settings","திட்டமிட்ட இறக்குமதி அமைப்புகள்"
"Select Your Currency","உங்கள் நாணயத்தின் தேர்வு"
"Service","சேவை"
"Start Time","தொடக்க நேரம் "
"State is required for","மாநிலம் அவசியம் தேவை"
"State/Province","மாநிலம் / மாகாணம்"
"States Options","மாநிலங்களில் விருப்பங்கள்"
"Unable to initialize the import model.","இறக்குமதி மாடல் துவக்க முடியவில்லை."
"Undefined rate from ""%s-%s"".","%s-%s  இருந்து வரையறுக்கபடாத  விகிதம்."
"WARNING:","எச்சரிக்கை:"
"Webservicex","Webservicex"
"Your current currency is: %s","உங்கள் தற்போதைய நாணயம் :% s"
