"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d 購物車價格規則基於 ""%s"" 屬性，已被禁用。"
"%s Coupon(s) have been generated","已生成%s的優惠券（S）"
"Actions","操作"
"Active","活動"
"Add New Rule","新增規則"
"Alphabetical","按英文字母順序"
"Alphanumeric","字母數字"
"An error occurred while generating coupons. Please review the log and try again.","發生錯誤而產生券。請檢查日誌並再次嘗試。"
"Apply","套用"
"Apply To","套用給"
"Apply the rule only if the following conditions are met (leave blank for all products)","只有下列條件滿足時才套用規則（留空即可針對所有產品）"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","只對購物車中滿足下列條件的產品套用規則（留空即可針對所有產品）"
"Apply the rule to cart items matching the following conditions","對購物車中符合下列條件的商品套用規則"
"Apply to Shipping Amount","套用給運單額度"
"Are you sure you want to delete the selected coupon(s)?","你確定要刪除選定的優惠券（S）？"
"Auto","自動"
"Auto Generated Specific Coupon Codes","自動生成的特定的優惠券代碼"
"Buy X get Y free (discount amount is Y)","購買 X 即可免費獲得 Y（折扣額是Y）"
"By Fixed value","由固定值"
"By Percentage","按百分比"
"Can\'t acquire coupon.","無法獲取代金券。"
"Cart Attribute","購物車屬性"
"Catalog","分類"
"Code Format","代碼格式"
"Code Length","代碼長度"
"Code Prefix","代碼前綴"
"Code Suffix","代碼後綴"
"Conditions","條件"
"Conditions combination","條件組合"
"Coupon","優惠券"
"Coupon Code","優惠券代碼"
"Coupon Qty","優惠券數量"
"Coupon with the same code","優惠券與相同的代碼"
"Coupons Information","優惠券信息"
"Created On","建立於"
"Customer Groups","客戶組"
"Dash Every X Characters","衝每一個X字"
"Date Expire","過期日"
"Date Start","開始日"
"Default Label","預設標籤"
"Default Rule Label for All Store Views","針對所有店舖視圖的預設規則標籤"
"Description","描述"
"Discount Amount","折扣帳戶"
"Discount Qty Step (Buy X)","折扣數量步驟（購買 X）"
"Edit Rule","修改規則"
"Edit Rule '%s'","修改規則'%s'"
"Excluding prefix, suffix and separators.","不包括前綴，後綴和分隔。"
"FOUND","找到"
"Fixed amount discount","定額折扣"
"Fixed amount discount for whole cart","整個購物車的定額折扣"
"For matching items only","僅限匹配的商品"
"For shipment with matching items","針對運單中匹配的商品"
"Free Shipping","免運費"
"From Date","來自日期"
"General Information","常規資訊"
"Generate","產生"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","如果車匹配這些條件的%s的項目部分選取%s的%s的："
"If an item is %s in the cart with %s of these conditions true:","如果一個項目是%s%s這些條件都是真實處的車："
"If empty no separation.","如果為空，沒有分離。"
"If you select and save the rule you will be able to generate multiple coupon codes.","如果您選擇和保存規則，你將能夠生成多種優惠券代碼。"
"Inactive","未激活"
"Item totals are not set for rule.","商品總數並不由規則設置"
"Labels","標籤"
"Manage Coupon Codes","管理優惠券代碼"
"Maximum Qty Discount is Applied To","最大數量折扣被應用給"
"NOT FOUND","未找到"
"NOT LOGGED IN","未登錄"
"New Rule","新規則"
"No","否"
"No Coupon","無代金券"
"Not valid data provided","不提供有效的數據"
"Number of Uses","用戶數"
"Numeric","數字"
"Payment Method","支付方式"
"Percent of product price discount","產品價格折扣比例"
"Period","週期"
"Price in cart","購物車價格"
"Priority","優先級"
"Product attribute combination","產品屬性組合"
"Products subselection","產品覆選"
"Promotions","促銷"
"Public In RSS Feed","發布到RSS源中"
"Quantity in cart","購物車中數量"
"Row total in cart","購物車中行數"
"Rule Information","規則資訊"
"Rule Name","規則名稱"
"Rule is not defined","規則是沒有定義"
"Sales Discount Amount","銷售折扣額"
"Sales Subtotal Amount","銷售小計額度"
"Sales Total Amount","銷售總額"
"Save and Continue Edit","保存並繼續編輯"
"Shipping Country","運送國家"
"Shipping Method","運送方式"
"Shipping Postcode","運送郵編"
"Shipping Region","運送地區"
"Shipping State/Province","運行州/省"
"Shopping Cart Price Rule","共享購物車規則"
"Shopping Cart Price Rules","購物車價格規則"
"Special Price","特價"
"Specific Coupon","指定代金券"
"Status","狀態"
"Stop Further Rules Processing","停止進一步的規則處理"
"Store View Specific Labels","店舖視圖指定的標籤"
"Subtotal","小計"
"Subtotal Amount","小計額度"
"The rule has been deleted.","規則已刪除。"
"The rule has been saved.","規則已保存。"
"This rule no longer exists.","該規則已不存在。"
"Times Used","時間使用"
"To Date","截止日期"
"To Fixed Value","為固定值"
"To Percentage","為百分率"
"Total","總數"
"Total Amount","總數量"
"Total Items Quantity","總商品數量"
"Total Weight","總重量"
"Unable to create requested Coupon Qty. Please check settings and try again.","無法建立請求的優惠券數量。請檢查設置並再次嘗試。"
"Unable to find a rule to delete.","無法查找要刪除的規則。"
"Update prices using the following information","使用下列資訊更新價格"
"Update product's %s %s: %s","更新產品的 %s %s：%s"
"Update the Product","更新產品"
"Use Auto Generation","使用自動生成"
"Used","使用"
"Uses per Coupon","每代金券使用"
"Uses per Customer","每客戶使用"
"Website","網站"
"Websites","網站"
"Wrong rule specified.","所指定規則有誤。"
"Yes","是"
"total amount","總金額"
"total quantity","總量"
