"Add Recipient","பெறுநரை சேர்"
"Allow for Guests","விருந்தினர்களுக்கு அனுமதியளி"
"An invalid email address for recipient was entered.","பெறுநரில் செல்லாத மின்னஞ்சல் உள்ளிடப்பட்டுள்ளது"
"At least one recipient must be specified.","குறைந்தபட்சம் ஒரு பெறுநராவது குறிப்பிடப்பட வேண்டும்."
"Back","பின்செல்"
"Catalog Product Email to a Friend","பொருள் பட்டியலை நண்பருக்கு மின்னஞ்சல் அனுப்பவும் "
"Email Address","மின்னஞ்சல் முகவரி"
"Email Address:","மின்னஞ்சல் முகவரி:"
"Email Templates","மின்னஞ்சல் வார்ப்புரு "
"Email to a Friend","நண்பருக்கு மின்னஞ்சலனுப்பு"
"Email:","மின்னஞ்சல்:"
"Enabled","இயலுமைப்படுத்து "
"Invalid Sender Information","அனுப்புனர் தகவல் செல்லாதது"
"Invalid sender email.","அனுப்புனர் மின்னஞ்சல் செல்லாதது."
"Limit Sending By","அனுப்புவதை கட்டுப்படுத்த "
"Max Products Sent in 1 Hour","ஒரு மணி நேரத்தில் அனுப்பபட்ட அதிகபட்ச பொருட்கள் "
"Max Recipients","அதிகபட்ச பெறுநர்கள்"
"Maximum %d email addresses allowed.","அதிகபடியாக %d மின்னஞ்சல்கள் அனுமதிக்கப்படும்."
"Message:","செய்தி:"
"Name","பெயர்"
"Name:","பெயர்:"
"No more than %d emails can be sent at a time.","%d க்கு அதிகபடியான மின்னஞ்சல்களை ஒரே முறையில் அனுப்பவியலாது."
"Please define a correct Cookie instance.","தயவு செய்து ஒரு சரியான குக்கீ நிகழ்வை வரையறுக்கவும் "
"Please define a correct Product instance.","தயவு செய்து சரியான பொருள் நிகழ்வை வரையறுக்கவும் "
"Please define the correct Sender information.","சரியான அனுப்புநர் தகவல் வரையறை செய்யவும் "
"Recipient:","பெறுநர்:"
"Remove Email","மின்னஞ்சலை நீக்கு"
"Select Email Template","மின்னஞ்சல் வார்ப்புருவை தெரிவுசெய்"
"Send Email","மின்னஞ்சலை அனுப்பு"
"Send product to a friend","பொருளை நண்பருக்கு அனுப்பு"
"Sender:","அனுப்புநர்:"
"Some emails were not sent.","சில மினன்சல்கள் அனுப்பப்படவில்லை."
"The link to a friend was sent.","நண்பரின் தொடுப்பு அனுப்பப்பட்டது."
"The message cannot be empty.","செய்தி காலியாக இருக்கமுடியாது."
"The messages cannot be sent more than %d times in an hour","செய்திகளை ஒரு மணி நேரத்தில்%d அதிகமாக முறை அனுப்ப முடியாது"
"The sender name cannot be empty.","அனுப்புநர் பெயர் காலியாக இருக்க முடியாது."
"There were some problems with the data.","தரவில்  சில சிக்கல்கள் இருந்தன."
"You have exceeded limit of %d sends in an hour","நீங்கள் ஒரு மணி நேரத்தில் அனுப்பும் %d  வரம்பை மீறிவிட்டீர்கள் "
