"3D Secure CAVV","3D 安全 CAVV"
"3D Secure Card Validation","3D 安全信用卡驗證"
"3D Secure Cardholder Validation","3D 安全持卡人驗證"
"3D Secure Electronic Commerce Indicator","3D 安全電子商務指標"
"3D Secure Verification Result","3D 安全驗證結果"
"3D Secure XID","3D 安全 XID"
"Card Issuer Liability","發卡機構法律責任"
"Card Verification","信用卡驗證"
"Enrolled","登記"
"Enrolled but Authentication Unavailable","已登記但驗證不可用"
"Failed","已失敗"
"MasterCard SecureCode","MasterCard 安全代碼"
"Merchant Liability","商家責任"
"Not Enrolled","未登記"
"Order cannot be placed.","無法下訂單。"
"Payment information error. Please start over.","支付資訊錯誤。請重新開始。"
"Please continue with placing order.","請繼續下訂單。"
"Please verify the card with the issuer bank before placing the order.","在下訂單前，請與發卡行驗證信用卡。"
"Please verify the card with the issuer bank:","請與發卡行驗證信用卡："
"Start/Reset Validation...","開始/重設驗證..."
"Successful","成功"
"Successful attempt","成功嘗試"
"The card has failed verification with the issuer bank.","卡片與發卡行的驗證失敗。"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","已提交錯誤的支付資訊，或時間限制已過。請重試。"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","提交的支付資訊錯誤，或時間限制已到。請重試。"
"This card has failed validation and cannot be used.","信用卡驗證失敗，無法使用。"
"To ensure the security of your transactions","要確保您的交易安全"
"Unable to complete","無法完成"
"Validation failed.","驗證失敗。"
"Verification Failed","驗證失敗"
"Verification Successful","驗證成功"
"Verification cannot be processed","驗證工作無法處理"
"Verified by Visa","Visa 已驗證"
