"Actions","פעולות"
"Add Answer","הוסף תשובה"
"Add New Answer","תשובה נוספת"
"Add New Poll","הוסף סקר חדש"
"Answer Title","כותרת תשובה"
"Answer Title:","כותרת תשובה:"
"Answer with the same title in this poll","תשובה עם אותה כותרת של הסקר"
"Are you sure you want to delete it?","האם למחוק את זה?"
"Assigned Answers","תשובות משוייכות"
"Closed","סגור"
"Community Poll","סקר הקהילה"
"Date Closed","תאריך סגירה"
"Date Posted","תאריך פרסום"
"Delete","מחק"
"Delete Answer","מחק תשובה"
"Delete Poll","מחק סקר"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","ערוך תשובה '%s'"
"Edit Poll '%s'","ערוך סקר '%s'"
"Edit Poll Answer","עריכת תשובת סקר"
"ID","ID"
"Invalid Answer.","Invalid Answer."
"New Poll","סקר חדש"
"Number of Responses","כמות תגובות"
"Open","פתוח"
"Poll Answers","תשובות סקר"
"Poll Information","מידע על הסקר"
"Poll Manager","ניהול סקרים"
"Poll Question","שאלת הסקר"
"Poll information","מידע על הסקר"
"Poll with the same question","סקר עם אותה שאלה"
"Polls","Polls"
"Save Answer","שמור תשובה"
"Save Poll","שמור סקר"
"Status","מצב"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","מופיע ב"
"Vote","הצבע"
"Votes Count","ספירת הצבעות/קולות"
"Votes Count:","ספירת הצבעות/קולות:"
