"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Dikkat</strong>: Güvenlik kodu (Captcha) büyük/küçük harfe duyarlıdır."
"After number of attempts to login","Belli sayıda başarısız oturum açma denemesinden sonra"
"Always","Her zaman"
"CAPTCHA","Güvenlik kodu"
"CAPTCHA Timeout (minutes)","Güvenlik kodu zaman aşımı (dakika)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Bu seçenek etkinleştirildiğinde, ""Kayıt olun"" ve ""Parolamı unuttum"" formlarında her zaman güvenlik kodu kullanılır"
"Case Sensitive","Büyük/küçük harfe duyarlı"
"Displaying Mode","Görüntüleme Kipi"
"Enable CAPTCHA in Admin","Yönetim bölümünde güvenlik kodu kullanılsın"
"Enable CAPTCHA on Frontend","Önyüzde güvenlik kodu kullanılsın"
"Font","Yazı tipi"
"Forms","Formlar"
"If 0 is specified, CAPTCHA on the Login form will be always available.","0 (sıfır) yazılırsa,oturum açma formunda her zaman güvenlik kodu kullanılır."
"Incorrect CAPTCHA.","Güvenlik kodu yanlış."
"Number of Symbols","Simge sayısı"
"Number of Unsuccessful Attempts to Login","Başarısız oturum açma denemesi sayısı"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Lütfen en fazla 8 simge seçin. Aralık da yazabilirsiniz (Örneğin: 3-5)"
"Please type the letters below","Lütfen harfleri aşağıya yazın"
"Please type the letters from the image:","Görseldeki harfleri yazın:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Bu alana yalnız harf (a-z or A-Z) ve rakam (0-9) yazın. Boşluk ve diğer karakterler kabul edilmez.<br />Birbirine benzeyen karakterler (örneğin ""i"", ""l"", ""1"") müşterinin güvenlik kodunu doğru şekilde anlamasını zorlaştırır."
"Reload captcha","Yeni kod yükleyin"
"Symbols Used in CAPTCHA","Gücenlik kodunda kullanılacak simgeler"
