"%s file does not exists or is not readable","%s dosyası mevcut veya okunabilir değil"
"-- Please Select --","-- Lütfen Seçiniz --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptör, Mage_ImportExport_Model_Import_Adapter_Abstract modelinin bir örneği olmalıdır"
"Adapter object must be an instance of %s","Adaptör nesnesi %s'in bir örneği olmalıdır"
"Adapter type must be a non empty string","Adaptör tipi boş olmayan yazı olmalı"
"Append Complex Data","Kompleks Veri Ekle"
"Attribute Code","Özellik Kodu"
"Attribute Label","Özellik Adı"
"Attribute does not has options, so filtering is impossible","Özellik seçenek içermiyor, bundan dolayı filteleme imkansız"
"Begin data validation","Veri doğrulamasına başlanıyor"
"Begin export of %s","%s'in dışa aktarımına başlanıyor"
"Begin import of ""%s"" with ""%s"" behavior","%s'in dışa aktarımına ""%s"" tarzı ile başlanıyor"
"CSV","CSV"
"Can not determine attribute filter type","Özellik filtre tipi belirlenemedi"
"Can not find required columns: %s","Gerekli sütunlar bulunamıyor: %s"
"Cannot get autoincrement value","Otomatik artırma değeri bulunamadı"
"Check Data","Veriyi Kontrol Et"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Kontrol edilen satırlar: %d, kontrol edilen varlıklar: %d, geçersiz satırlar: %d, toplam hatalar: %d"
"Column names have duplicates","Kolon adlarında çift olan(lar) var"
"Column names is empty or is not an array","Sütun adları boş veya dizi değişken değil"
"Column names: ""%s"" are invalid","Sütun adları : ""%s"" hatalı"
"Customers","Müşteriler"
"Data is invalid or file is not uploaded","Veri hatalı veya dosya yüklenemedi"
"Delete Entities","Varlıkları Sil"
"Destination directory is not writable","Hedef klasöre yazma hakkı yok"
"Destination file is not writable","Hedef dosyaya yazma hakkı yok"
"Destination file path must be a string","Hedef dosya yolu sadece alfanümerik karakterlerden oluşabilir"
"Done import data validation","İçe aktarım veri doğrulaması tamam"
"Duplicate Unique Attribute for '%s'","'%s' İçin Benzersiz Özelliği Çoğalt"
"Entity Type","Varlık Tipi"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Birim adaptörü Mage_ImportExport_Model_Export_Entity_Abstract'ın  bir örneği olmalıdır"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Birim adaptörü Mage_ImportExport_Model_Import_Entity_Abstract in bir örneği olmalıdır"
"Entity is unknown","Birim bulunamıyor"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Birim tipi modeli Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract'in bir örneği olmalı"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Birim tipi modeli Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract'in bir örneği olmalı"
"Error in data structure: behaviors are mixed","Veri yapısında hata : hareket karışık"
"Error in data structure: entity codes are mixed","Veri yapısında hata : birim kodları karışık"
"Errors limit (%d) reached. Please fix errors and re-upload file","Hata limiti (%d) aşıldı. Lütfen hataları düzeltip dosyayı yeniden yükleyin"
"Export","Dışarı Ver"
"Export File Format","Dosya Formatını Dışarı Aktar"
"Export Settings","Dışarı Aktarım Ayarları"
"Export has been done.","Dışarı aktarma tamamlandı."
"Exported %s rows.","%s sütun dışarı aktarıldı."
"File does not contain data.","Dosya veri içermiyor."
"File does not contain data. Please upload another one","Dosyada veri yok. Lütfen başka bir dosya yükleyiniz"
"File format is unknown","Dosya biçimi tanınamadı"
"File is partially valid, but import is not possible","Dosya kısmen doğru ama veri almak imkansız"
"File is totally invalid. Please fix errors and re-upload file","Dosya tamamen hatalı. Lütfen bu hataları düzelterek dosyayı yeniden yükleyiniz"
"File is valid! To start import process press ""Import"" button","Dosya geçerli! Veri alma işlemini başlatmak için ""Veri Al"" tuşuna basınız"
"File is valid, but import is not possible","Dosya geçerli ama veri almak imkansız"
"File was not uploaded","Dosya yüklenmedi."
"Filter","Filtre"
"From","Gönderici"
"Header column names already set","Sütun adları zaten ayarlanmış"
"Import","Veri Al"
"Import Behavior","İçe Aktarma Tarzı"
"Import Settings","İçe Aktarım Ayarları"
"Import has been done successfuly.","İçe aktarım başarıyla tamamlandı."
"Import successfully done.","Veri alma işlemi tamamlandı."
"Import/Export","Veri Al/Ver"
"Input entity code is not equal to entity adapter code","Giriş birim kodu birim adaptör kodu ile aynı değil"
"Invalid entity","Hatalı birim"
"Invalid entity model","Geçersiz varlık modeli"
"Invalid file format","Hatalı dosya biçimi"
"Invalid parameters","Hatalı parametreler"
"Invalid seek position","Hatalı dosya işaretçisi posizyonu"
"Invalid value for '%s'","'%s' için hatalı veri"
"Invalid value for '%s' column","'%s' sütunu için geçersiz değer"
"No filter data provided","Filtre verisi girilmedi"
"No source specified","Kaynak belirtilmedi"
"No valid data sent","Geçerli veri gönderilmedi"
"No writer specified","Yazıcı belirtilmedi"
"Node does not has model token tag","Düğümün model belirteci etiketi yok"
"Not implemented yet","Henüz uygulanmadı"
"Please fix errors and re-upload file","Lütfen bu hataları düzelterek dosyayı yeniden yükleyiniz"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Lütfen bu hataları düzelterek dosyayı yeniden yükleyiniz veya sadece ""Veri Al"" tuşuna basarak hatalı satırları gözardı ederek veri alımını başlatın"
"Products","Ürünler"
"Replace Existing Complex Data","Varolan Karışık Veriyi Değiştir"
"Select File to Import","İçe Aktarılacak Dosyayı Seçin"
"Skip","Atla"
"Source file moving failed","Kaynak dosya taşınırken hata oluştu"
"Source file path must be a string","Kaynak dosya yolu sadece yazıdan ibaret olmalıdır"
"Source is not set","Kaynak ayarlanmadı"
"Status","Durum"
"There are no product types available for export","Dışarı aktarmak için uygun ürün tipi yok"
"There is no data for export","Dışarı aktarılacak veri yok"
"To","Alıcı"
"Total size of uploadable files must not exceed %s","Yüklenecek dosyaların boyutu an fazla %s olmalıdır"
"Unknown attribute filter type","Bilinmeyen özellik filtresi tipi"
"Uploaded file has no extension","Yüklenen dosyanın uzantısı yok"
"Validation finished successfully","Doğrulama başarıyla sonuçlandı"
"in rows"," satırlarda"
"in rows:"," satırlarda:"
