"# of Uses","# Kullanım Sayısı"
"%s tag(s) have been accepted for moderation.","%s etiket onaylanmak üzere kaydedildi."
"<strong>Tag Name:</strong> %s","<strong>Etiket Adı:</strong> %s"
"Action","İşlem"
"Add","Ekle"
"Add New Tag","Etiket Ekle"
"Add Tags","Etiket Ekle"
"Add Your Tags:","Etiketlerinizi Ekleyin :"
"Add tag(s) to product","Ürüne etiket ekle"
"Add to Cart","Sepete Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"All Tags","Tüm Etiketler"
"Approved","Onaylandı"
"Are you sure you want to delete this tag?","Bu etiketi silmek istediğinizden emin misiniz ?"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"Back","Geri"
"Back to Tags List","Etiket Listesine Dön"
"Base Popularity","Taban Popülarite"
"Block Information","Blok Bilgisi"
"CSV","CSV"
"Catalog Product View","Katalog Ürün Görünümü"
"Change status","Durumu değiştir"
"Click on a tag to view your corresponding products.","Uygun ürünleri görmek için etikete tıklayın."
"Country","Ülke"
"Customer My Account My Tags List","Müşteri Hesabım Etiketlerim"
"Customer My Account Tag View","Müşteri Hesabım Etiket Görünümü"
"Customer Since","Müşteri Geçmişi"
"Customers","Müşteriler"
"Customers Submitted this Tag","Müşterilerin Etiketledikleri"
"Customers Tagged '%s'","'%s' Müşteriler Etiketledi"
"Delete","Sil"
"Delete Tag","Etiketi Sil"
"Disabled","Kapalı"
"Edit Tag '%s'","Etiketi Düzenle '%s'"
"Email","Email"
"First Name","Adı"
"General Information","Genel Bilgi"
"Grid","Izgara"
"ID","No"
"Info","Bilgi"
"Last Name","Soyadı"
"List","Liste"
"Manage Tags","Etiketleri Yönet"
"My Recent Tags","Önceki Etiketlerim"
"My Tags","Etiketlerim"
"Name","Adı"
"New Tag","Yeni Etiket"
"No matches found.","Eşleşme bulunamadı."
"Other people marked this product with these tags:","Diğer müşterilerimiz bu ürüne şu etiketleri koydular :"
"Pending","Beklemede"
"Pending Tags","Bekleyen Etiketler"
"Popular","Popüler"
"Popular Tags","Popüler Etiketler"
"Price","Fiyat"
"Product Name","Ürün Adı"
"Product SKU","Ürün Kodu"
"Product Tag API","Ürün Etiket APIsi"
"Product Tags","Ürün Etiketleri"
"Products","Ürünler"
"Products Tagged by Administrators","Yöneticiler Tarafından Etiketlenen Ürünler"
"Products Tagged by Customers","Müşteriler Tarafından Etiketlenen Ürünler"
"Products Tagged with '%s'","'%s' ile etiketlenen ürünler"
"Products tagged with '%s'","'%s' ile etiketlenen ürünler"
"Rebuild Tag aggregation data","Etiket toplama verisini yeniden oluştur"
"Remove","Sil"
"Remove product tag","Ürün etiketini sil"
"Retrieve list of tags by product","Ürüne göre etiket listesi al"
"Retrieve product tag info","Ürün etiket bilgisi al"
"SKU","Ürün Kodu"
"Save Tag","Etiketi Kaydet"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Status","Durum"
"Store View","Mağaza Görünümü"
"Tag","Etiket"
"Tag ""%s"" has already been added to the product."," ""%s"" adlı etiket zaten bu ürüne eklenmiş."
"Tag ""%s"" has been added to the product.","""%s"" adlı etiket ürüne eklendi."
"Tag ""%s"" has been rejected by administrator.","""%s"" adlı etiket yönetici tarafından reddedildi."
"Tag Aggregation Data","Etiket Toplama Verisi"
"Tag Name","Etiket Adı"
"Tagged Products List","Etiketlenmiş Ürün Listesi"
"Tags","Etiketler"
"Tags List (All Available)","Etiket Listesi (Hepsi)"
"Tags List Before","Önceki Etiket Listesi"
"Tags:","Etiketler :"
"Telephone","Telefon"
"The tag has been deleted.","Etiket silindi."
"There are no tags available.","Hiç etiket eklenmedi."
"Unable to find any products tagged with '%s' in the current store","Bu mağazada '%s' ile etiketlenmiş ürün bulunamadı"
"Unable to remove tag. Please, try again later.","Etiket silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to save tag(s).","Etiket kaydı yapılamadı."
"Update","Güncelle"
"Update product tag","Ürün etiketini güncelle"
"Use spaces to separate tags. Use single quotes (') for phrases.","Etiketleri ayırmak için boşluk kullanınız. Deyim tipindeki etiketler için tekli tırnak (') kullanınız."
"View All Tags","Tüm Etiketleri Göster"
"View Customers","Müşterileri Göster"
"View Products","Ürünleri Göster"
"XML","XML"
"You have not tagged any products yet.","Hiç bir ürünü etiketlemediniz."
"ZIP/Post Code","Posta Kodu"
"[STORE VIEW]","[MAĞAZA GÖRÜNÜMÜ]"
