"Add Recipient","Alıcı Ekle"
"Allow for Guests","Konuk kullanıcılara izin ver"
"An invalid email address for recipient was entered.","Alıcı e-mail adresi hatalı."
"At least one recipient must be specified.","En az bir alıcı belirlemelisiniz."
"Back","Geri"
"Catalog Product Email to a Friend","Katalog Ürün Arkadaşına E-Mail Gönder"
"Email Address","Email Adresi"
"Email Address:","Email Adresi:"
"Email Templates","Email Şablonları"
"Email to a Friend","Arkadaşına Gönder"
"Email:","Email:"
"Enabled","Aktif"
"Invalid Sender Information","Gönderici bilgisi hatalı"
"Invalid sender email.","Gönderici e-mail adresi hatalı."
"Limit Sending By","Gönderimi limitle"
"Max Products Sent in 1 Hour","1 Saat içinde gönderilecek en fazla ürün sayısı"
"Max Recipients","En fazla Alıcı sayısı"
"Maximum %d email addresses allowed.","En fazla %d adet email adresine izin veriliyor."
"Message:","Mesaj:"
"Name","Adı"
"Name:","Adı:"
"No more than %d emails can be sent at a time.","Bir seferde %d adetten fazla mail gönderilemez."
"Please define a correct Cookie instance.","Lütfen geçerli bir çerez adı giriniz."
"Please define a correct Product instance.","Lütfen geçerli bir Ürün adı giriniz."
"Please define the correct Sender information.","Lütfen Gönderici bilgisini düzeltiniz."
"Recipient:","Alıcı:"
"Remove Email","Email Adresini Sil"
"Select Email Template","E-Mail Şablonu Seç"
"Send Email","E-Mail Gönder"
"Send product to a friend","Arkadaşına ürünü tavsiye et"
"Sender:","Gönderici :"
"Some emails were not sent.","Bazı e-mail mesajları gönderilemedi."
"The link to a friend was sent.","Bağlantı arkadaşınıza gönderildi."
"The message cannot be empty.","Mesaj alanı boş bırakılamaz."
"The messages cannot be sent more than %d times in an hour","Bir saatte %d adetten fazla mail gönderilemez"
"The sender name cannot be empty.","Gönderici adı boş olmamalıdır."
"There were some problems with the data.","Veri ile ilgili bazı problemler var."
"You have exceeded limit of %d sends in an hour","1 saat içinde gönderilebilecek mesaj limitini ( %d ) aştınız"
