"Add","Ajouter"
"Add gift message for shopping cart","Ajouter un message cadeau pour le panier"
"Add gift messages for quote item of shopping cart","Ajouter des messages cadeau pour un article du panier"
"Add gift messages to products of shopping cart","Ajouter des messages cadeau aux produits du panier"
"Add gift options","Ajouter des options cadeau"
"Add gift options for Individual Items","Ajouter des options cadeau pour les articles individuels"
"Add gift options for the Entire Order","Ajouter des options cadeau pour toute la commande"
"Add gift options.","Ajouter des options cadeau"
"Allow Gift Messages for Order Items","Autoriser les messages cadeau pour chaque article"
"Allow Gift Messages on Order Level","Autoriser les messages cadeau au niveau de la commande"
"An error occurred while saving the gift message.","Erreur lors de la sauvegarde du message cadeau"
"Are you sure?","Êtes-vous sûr(e) ?"
"Cancel","Annuler"
"Do you have any gift items in your order?","Y a-t-il des articles cadeaux dans votre commande ?"
"Edit","Éditer"
"From","De"
"Gift Message","Message du cadeau"
"Gift Message API","API de messages cadeau"
"Gift Options","Options cadeau"
"Gift Options for","Options cadeau pour"
"Gift Options for Individual Items","Options cadeau pour les articles individuels"
"Gift Options for the Entire Order.","Options cadeau pour toute la commande"
"Gift Options for this address.","Options cadeau pour cette adresse."
"Item %d of %d","Article %d sur %d"
"Message","Message"
"No","Non"
"OK","OK"
"Save Gift Message","Sauvegarder le message cadeau"
"The gift message has been removed","Le message cadeau a bien été supprimé"
"The gift message has been saved","Le message cadeau a bien été sauvegardé."
"The gift message has been saved.","Le message cadeau a bien été sauvegardé."
"To","À"
"Unknown entity type","Type d'entité inconnu"
"Use config","Utiliser la config"
"Yes","Oui"
"You can leave this box blank if you do not wish to add a gift message for the item.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour l'article."
"You can leave this box blank if you do not wish to add a gift message for this address.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour cette adresse."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Laissez vide si vous ne souhaitez pas ajouter de message cadeau pour l'ensemble de la commande."
