"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"A directory with the same name already exists. Please try another folder name.","A directory with the same name already exists. Please try another folder name."
"A page URL key for specified store already exists.","A page URL key for specified store already exists."
"Action","פעולה"
"Add New Block","בלוק חדש"
"Add New Page","הוסף דף חדש"
"All Countries","All Countries"
"An error occurred while saving the page.","An error occurred while saving the page."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Are you sure you want to delete current folder?","האם אתה בטוח שברצונך למחוק את התיקיה הנוכחית?"
"Are you sure you want to delete the selected file?","האם אתה בטוח שברצונך למחוק את הקובץ הנבחר?"
"Block","בלוק"
"Block Information","בלוק - מידע"
"Block Title","בלוק - כותרת"
"CMS","CMS"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","מע' ניהול תוכן - עמוד הבית"
"CMS No Cookies Page","CMS No Cookies Page"
"CMS No Route Page","דף שגיאה CMS"
"CMS No-Route Page","דף שגיאה 404"
"CMS Page","דף תוכן"
"CMS Page Link","קישור לדף תוכן"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Pages (All)","דפי תוכן (הכל)"
"CMS Static Block","בלוק תוכן סטטי"
"CMS Static Block Default Template","CMS Static Block Default Template"
"Cannot create new directory.","Cannot create new directory."
"Cannot delete directory %s.","Cannot delete directory %s."
"Cannot delete root directory %s.","Cannot delete root directory %s."
"Cannot upload file.","Cannot upload file."
"Collapse All","סוגר הכל"
"Content","תוכן"
"Content Heading","כותרת התוכן"
"Content Management","ניהול התוכן"
"Contents of a Static Block","תוכן של בלוק סטטי"
"Create Folder...","צור תיקיה..."
"Custom Design","עיצוב בהתאמה אישית"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Custom Theme","תבנית עיצוב מותאמת אישית"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Date Created","תאריך יצירה"
"Delete Block","מחק בלוק"
"Delete File","מחק קובץ"
"Delete Folder","מחק תיקיה"
"Delete Page","מחק עמוד"
"Description","תיאור"
"Design","עיצוב"
"Disabled","לא פעיל"
"Disabled Completely","כבוי לגמרי"
"Disabled by Default","כבוי כברירת מחדל"
"Edit Block","ערוך בלוק"
"Edit Block '%s'","ערוך בלוק '%s'"
"Edit Page","ערוך דף"
"Edit Page '%s'","ערוך דף '%s'"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"Enabled","פעיל"
"Enabled by Default","מופעל כברירת מחדל"
"Expand All","פתח הכל"
"General Information","מידע כללי"
"Go to Home Page","חזור לדף ראשי"
"Home","ראשי"
"ID","ID"
"Identifier","מזהה"
"If empty, the Page Title will be used","אם ריק, כותרת הדף תוצג"
"Images (%s)","תמונות (%s)"
"Insert File","טען קובץ"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","שם התיקיה לא תקני. בבקשה, השתמש באותיות באנגלית, מספרים, מקפים ומקפים תחתוניים בלבד."
"Keywords","מילות מפתח"
"Last Modified","עודכן לאחרונה"
"Layout","תצורה"
"Layout Update XML","Layout Update XML"
"Link to a CMS Page","קישור לדף תוכן"
"Manage Pages","ניהול דפים"
"Media Gallery","Media Gallery"
"Media Storage","אחסון קבצי מדיה"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","מילות מפתח (Meta Keywords)"
"New Block","בלוק חדש"
"New Folder Name:","שם לתיקיה חדשה:"
"New Page","עמוד חדש"
"No files found","לא נמצאו קבצים"
"Page Information","מידע על דף"
"Page Layout","תצורת דף"
"Page Status","סטטוס הדף"
"Page Title","כותרת הדף"
"Pages","דפים"
"Product Tax Class Information","מוצר - מידע על מדרגת/מחלקת המס"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Relative to Website Base URL","יחסי לכתובת URL הבסיסית של האתר URL"
"Save Block","שמור בלוק"
"Save Page","שמור דף"
"Save Process","Save Process"
"Select Block...","בחר בלוק..."
"Select Page...","בחר דף..."
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Static Blocks","בלוקים סטטיים"
"Status","סטאטוס"
"Storage Root","שורש האחסון"
"Store View","תצוגת חנות"
"Template","תבנית"
"The block has been deleted.","The block has been deleted."
"The block has been saved.","The block has been saved."
"The directory %s is not writable by server.","The directory %s is not writable by server."
"The page URL key cannot consist only of numbers.","The page URL key cannot consist only of numbers."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page has been deleted.","The page has been deleted."
"The page has been saved.","The page has been saved."
"The static block content cannot contain  directive with its self.","The static block content cannot contain  directive with its self."
"This block no longer exists.","This block no longer exists."
"This page no longer exists.","This page no longer exists."
"Title","כותרת"
"URL Key","כתובת URL"
"Unable to find a block to delete.","Unable to find a block to delete."
"Unable to find a page to delete.","Unable to find a page to delete."
"WYSIWYG Options","אפשרויות עורך ויזואלי"
"px.","px."
