" in rows: ","行："
"-- Please Select --","-- 請選擇 --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","適配器必須為Mage_ImportExport_Model_Import_Adapter_Abstract的實例"
"Adapter type must be a non empty string","適配器類型必須為非空字符串"
"Can not determine attribute filter type","無法確定屬性篩選類型"
"Can not find required columns: ","無法找到所請求的欄："
"Can not get autoincrement value","無法獲得自動增量值"
"Check Data","檢查數據"
"Column names have duplicates","欄名稱有重複"
"Column names is empty or is not an array","欄名稱為空或非陣列"
"Column names: ""%s"" are invalid","欄名稱：%s 無效"
"Continue","繼續"
"Data is invalid or file is not uploaded","數據無效，或文件未被上傳"
"Destination directory is not writable","目標目錄不可寫"
"Destination file is not writable","目標文件不可寫"
"Destination file path must be a string","目標文件路徑必須為字符串"
"Entity Attributes","編輯屬性"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","實體適配器對象必須為Mage_ImportExport_Model_Import_Entity_Abstract的實例"
"Entity is unknown","未知實體"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","實體類型模塊必須為Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract的實例"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","實體類型模塊必須為Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract的實例"
"Error in data structure: behaviors are mixed","數據結構有誤：行為是混合的"
"Error in data structure: entity codes are mixed","數據結構有誤：實體代碼是混合的"
"Export","滙出"
"Export FAQ","滙出 FAQ"
"FAQ","常見問題與解答"
"File does not contain data. Please upload another one","文件不包含數據。請上傳另一個文件"
"File format is unknown","未知的文件格式"
"File is partially valid, but import is not possible","文件部分有效，但無法滙入"
"File is totally invalid. Please fix errors and re-upload file","文件無效。請修復錯誤並重新上傳文件"
"File is valid! To start import process press ""Import"" button","文件有效！要開始滙入，請單擊""滙入""按鈕"
"File is valid, but import is not possible","文件有效，但無法滙入"
"Header column names already set","標題列名稱已設置"
"Import","滙入"
"Import / Export FAQ (Frequently Asked Questions)","滙入 / 滙出 FAQ（常見問題）"
"Import FAQ","滙入 FAQ"
"Import successfully done.","滙入成功完成。"
"Import/Export","滙入/滙出"
"In/Out","入/出"
"Input entity code is not equal to entity adapter code","輸入的實體代碼與實體適配器代碼不相同"
"Invalid entity","無效的實體"
"Invalid file format","無效的文件格式"
"Invalid parameters","無效的參數"
"Invalid seek position","無效的位置尋找"
"Invalid value for '%s'","""%s""的數值無效"
"No filter data provided","沒有提供過濾器數據"
"No source specified","沒有指定源"
"No valid data sent","沒有發送有效的數據"
"No writer specified","沒有指定作者"
"Node does not has model token tag","節點不具有模型Token標籤"
"Not implemented yet","尚未實現"
"Please fix errors and re-upload file","請修復錯誤並重新上傳文件"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","請修復錯誤並重新上傳文件，或單擊""滙入""按鈕來跳過錯誤行"
"Some other FAQ","一些其他 FAQ"
"Source file moving failed","源文件移動失敗"
"Source file path must be a string","源文件路徑必須為字符串"
"Source is not set","源未設置"
"Status","狀態"
"System busy","系統忙碌"
"There are no product types available for export","沒有可用的產品類型可供滙出"
"Total size of uploadable files must not exceed %s","可上傳文件的總大小不可超過 %s"
"Uploaded file has no extension","已上傳的文件沒有擴展名"
"Validation Results","驗證結果"
