"%s - Discounts and Coupons","%s - Rabatter och kuponger"
"%s - Special Products","%s - Specialprodukter"
"%s RSS Feed","%s RSS flöde"
"%s has reached a quantity of %s.","Lagersaldot för %s ligger på %s."
"%s\'s Wishlist","%s\'s önskelista"
"Cannot retrieve the wishlist","Kan inte hämta önskelistan"
"Catalog","Katalog"
"Category Feeds","Flöden för kategorier"
"Click for price","Klicka för pris"
"Comment: %s<br/>","Kommentar: %s<br/>"
"Coupons/Discounts","Kuponger/rabatter"
"Current Status: %s<br/>","Nuvarande status: %s<br/>"
"Customer Name: %s","Kundnamn: %s"
"Customer Order Status Notification","Meddelande till kund om status för beställning"
"Details for %s #%s","Detaljer för %s #%s"
"Discount","Rabatt"
"Discount (%s)","Rabatt (%s)"
"Enable RSS","Aktivera RSS"
"Error in processing xml. %s","Ett fel uppstod när XML-datan skulle behandlas. %s"
"From:","Från:"
"Get Feed","Hämta RSS flöde"
"Gift Message","Presentmeddelande"
"Grand Total","Totalt"
"Low Stock Products","Produkter med låga lagersaldon"
"Message:","Meddelande:"
"Miscellaneous Feeds","Blandade flöden"
"New Orders","Nya beställningar"
"New Products","Nya produkter"
"New Products from %s","Nya produkter från %s"
"Notified Date: %s<br/>","Meddelades den: %s<br/>"
"Order # %s Notification(s)","Meddelande(n) för beställning nr. %s"
"Order #%s created at %s","Beställning nr. %s som skapades den %s"
"Pending product review(s)","Produktrecensioner i väntan på granskning"
"Product: ""%s"" review By: %s","Produkt: ""%s"" recension av %s"
"Product: <a href=""%s"">%s</a> <br/>","Produkt: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produkter med etikett %s"
"Purchased From: %s","Köpt från: %s"
"RSS","RSS"
"RSS Feeds","RSS flöden"
"RSS Feeds List","Lista på RSS flöden"
"RSS Feeds Section","RSS flöden sektion"
"Review: %s <br/>","Recension: %s <br/>"
"Rss Config","RSS konfiguration"
"Shipping &amp; Handling","Leverans &amp; hantering"
"Special Products","Specialprodukter"
"Store: %s <br/>","Butik: %s <br/>"
"Subtotal","Deltotal"
"Summary of review: %s <br/>","Sammanfattning av recension: %s <br/>"
"Tags Products","Produkter med etiketter"
"Tax","Moms"
"There are no Rss Feeds","Det finns inga RSS flöden"
"To:","Till:"
"Top Level Category","Kategori av högsta nivå"
"Total: %s<br/>","Totalt: %s<br/>"
"Wishlist","Önskelista"
"click <a href=""%s"">here</a> to view the review","klicka <a href=""%s"">här</a> för att läsa recensionen"
