"Action","Actie"
"An error occurred while creating the backup.","Er is een fout opgetreden bij het ​​maken van de back-up."
"An error occurred while writing to the backup file ""%s"".","Er is een fout opgetreden terwijl het backup-bestand ""%s"" werd geschreven."
"Are you sure you want to delete the selected backup(s)?","Weet u zeker dat u de geselecteerde back-up (s) verwijderen?"
"Backup Type","Back-up Type"
"Backup file ""%s"" cannot be read from or written to.","Backup-bestand ""%s"" kan niet gelezen of beschreven worden."
"Backup file ""%s"" does not exist.","Backup-bestand ""%s"" bestaat niet."
"Backup file does not exist.","Backup bestand bestaat niet."
"Backup file handler was unspecified.","Foutieve vertaling, neem contact op met Mindstretch."
"Backup file not found","Back-up bestand niet gevonden"
"Backup file path was not specified.","Foutieve vertaling, neem contact op met Mindstretch."
"Backups","Backups"
"Cannot read backup file.","Het Back-up bestand kan niet worden gelezen."
"Create Backup","Backup maken"
"Database","Database"
"Database Backup","Database Backup"
"Database and Media","Database and Media"
"Database and Media Backup","Database en Media Backup"
"Database was successfuly backed up.","Database-backup is met succes gemaakt"
"Download","Download"
"Enable Scheduled Backup","Schakel Geplande back-up in"
"Failed to connect to FTP","Kan geen verbinding maken met FTP"
"Failed to delete one or several backups.","Fout bij een of meerdere back-ups verwijderen."
"Failed to rollback","Terugdraaien mislukt "
"Failed to validate FTP","Kan geen FTP valideren"
"Frequency","Frequentie"
"Invalid Password.","Ongeldig wachtwoord."
"Maintenance Mode","Onderhoud mode"
"Name","Naam"
"Not enough free space to create backup.","Niet genoeg vrije ruimte om back-up te creëren."
"Not enough permissions to create backup.","Niet genoeg rechten om back-up te creëren."
"Not enough permissions to perform rollback","Niet genoeg rechten om oude versie uit te voeren"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback."""
"Put store on the maintenance mode while backup's creation","Zet winkel in de onderhoud modus, terwijl back-up's worden gemaakt"
"Rollback","Terug draaien"
"Scheduled Backup Settings","Geplande back-up-instellingen"
"Size, Bytes","Maat, Bytes"
"Start Time","Start tijd"
"System","Systeem"
"System (excluding Media)","Systeem (exclusief media)"
"System Backup","System Backup"
"System couldn't put store on the maintenance mode","Systeem kan winkel niet op de onderhouds modus zetten"
"The database and media backup has been created.","De database en media back-up is gemaakt."
"The database backup has been created.","De database back-up is gemaakt."
"The file was compressed with Zlib, but this extension is not installed on server.","Het bestand is samengebracht met Zlib, maar deze extensie is niet geinstalleerd op de server."
"The selected backup(s) has been deleted.","De geselecteerde back-up(s) is verwijderd."
"The system (excluding Media) backup has been created.","De systeem (met uitzondering van Media) back-up is gemaakt."
"The system backup has been created.","De systeem back-up is gemaakt."
"Time","Tijd"
"Type","Type"
"Unable to create backup. Please, try again later.","Kon geen backup maken. Probeer later opnieuw a.u.b."
"Unable to save the cron expression.","Kan de cron expressie niet opslaan."
"Wrong order of creation for new backup.","Verkeerde order of creatie voor een nieuwe backup."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","U heeft niet voldoende rechten om de onderhouds mode mogelijk te maken tijdens deze handeling."
