"""%s"" contains not only digit characters.","""%s"" harf dışı karakter içeriyor."
"""%s"" does not fit the entered date format.","""%s"" girilen tarih biçimine uygun değil."
"""%s"" exceeds the allowed file size.","""%s"" izin verilen dosya boyutunu aşıyor."
"""%s"" exceeds the allowed length.","""%s"" izin verilen boyutu aşıyor."
"""%s"" has not only alphabetic and digit characters.","""%s"" sadece harf ve rakamdan oluşmuyor."
"""%s"" has not only alphabetic characters.","""%s"" sadece harflerden oluşmuyor."
"""%s"" height exceeds allowed value of %s px.","""%s"" yüksekliği olması gereken değerden (%s px) büyük."
"""%s"" invalid type entered.","""%s"" hatalı tip girildi."
"""%s"" is a required value.","""%s"" zorunlu bir değerdir."
"""%s"" is an empty string.","""%s"" boş."
"""%s"" is not a valid URL.","""%s"" geçerli bir internet adresi değil."
"""%s"" is not a valid date.","""%s"" geçerli bir tarih değil."
"""%s"" is not a valid email address.","""%s"" geçerli bir e-mail adresi değil."
"""%s"" is not a valid file","""%s"" geçerli bir dosya değil"
"""%s"" is not a valid file extension.","""%s"" geçerli bir dosya uzantısı değil."
"""%s"" is not a valid file.","""%s"" geçerli bir dosya değil."
"""%s"" is not a valid hostname.","""%s"" geçerli bir sunucu adı değil."
"""%s"" is not a valid image format","""%s"" geçerli bir resim biçimi değil"
"""%s"" length must be equal or greater than %s characters.","""%s"" uzunluğu %s karakter veya daha fazla olmalı."
"""%s"" length must be equal or less than %s characters.","""%s"" uzunlupu %s karakter veya daha az olmalı."
"""%s"" width exceeds allowed value of %s px.","""%s"" genişliği olması gereken değerden (%s px) büyük.."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' bir DNS sunucu adı gibi gözüküyor ancak domain uzantısı kısmı ayıklanamıyor"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' bir DNS sunucu adı gibi gözüküyor ancak domain uzantısı kısmı bilinen uzantılar arasında yok"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' bir DNS sunucu adı gibi gözüküyor ancak alan adı kısmı bu domain uzantısı için gereken şekle uygun değil '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' bir DNS sunucu adı gibi gözüküyor ancak nokta karakteri gereken yerde değil"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' bir DNS sunucu adı gibi gözüküyor ancak verilen PunyCode notu çözülemedi"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' bir yerel ağ adı gibi gözüküyor ancak yerel ağ adları kabul edilemiyor"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' bir IP adresi gibi gözüküyor ancal IP adresleri kabul edilemiyor"
"'%value%' does not appear to be a valid URI hostname","'%value%' geçerli bir URI sunucu adı değil"
"'%value%' does not appear to be a valid local network name","'%value%' geçerli bir yerel ağ adı gibi gözükmüyor"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' DNS sunucu adı için gerekli yapıya sahip değil"
"A joint field with this alias (%s) is already declared","Aynı takma adla birleştirilmiş bir alan adı daha var"
"Add Option","Özellik Ekle"
"An error occurred while loading a record, aborting. Error: %s","Kayıt yüklenirken bir hata oluştu. Hata: %s"
"An error occurred while loading the collection, aborting. Error: %s","Koleksiyon yüklenirken bir hata oluştu. Hata: %s"
"An error occurred while saving a record, aborting. Error: ","Veri kaydedilirken bir hata oluştu. Hata: "
"Attempt to add an invalid object","Hatalı nesne eklenmeye çalışıldı"
"Attribute '%s' used in configurable products","Attribute '%s' ayarlanabilir ürünlerde kullanıldı"
"Attribute Code","Seçenek Kodu"
"Attribute Label","Özellik Adı"
"Attribute Properties","Özellik Ayarları"
"Attribute object is undefined","Özellik nesnesi ayarlanmadı"
"Attribute set with the ""%s"" name already exists.","""%s"" adında bir özellik seti zaten var."
"Attribute with the same code","Aynı kodda bir özellik zaten var"
"Can\'t create table: %s","Tablo oluşturulamadı : %s"
"Catalog Input Type for Store Owner","Mağaza Sahibi için Giriş Tipi"
"Current module EAV entity is undefined","Mevcut mudül için EAV girişi ayarlanmamış"
"Current module pathname is undefined","Mevcut modülün dosya yolu ayarlanmamış"
"Data integrity: No header row found for attribute","Veri bütünlüğü: Bu özellik için başlık satırı bulunamadı"
"Date","Tarih"
"Decimal Number","Ondalıklı Sayı"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Default Product Listing Sort by does not exist in Available Product Listing Sort By."
"Default Value","Varsayılan Değer"
"Default option value is not defined","Varsayılan seçenek değeri belirlenmedi"
"Delete","Sil"
"Dropdown","Açılır Menü"
"Email","Email"
"Entity collection expected.","Kayıt koleksiyonu bekleniyor."
"Entity collections expected.","Kayıt koleksiyonları bekleniyor."
"Entity instance is not defined","Kayıt örneği tanımlanmamış"
"Entity is not initialized","Varlık başlatılamadı"
"Entity object is undefined","Kayıt nesnesi tanımlanmamış"
"Failed to load node %s from config","%s verisi ayarlardan okunamadı"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","İç kullanım içindir. Eşsiz olmalıdır ve boşluk içermemelidir. Bu veri için en fazla %s karakter kullanabilirsiniz."
"Form Element with the same attribute","Aynı özellikle Form Elemanı"
"Form Fieldset with the same code","Aynı kodla Form Fieldset"
"Form Type with the same code","Aynı kodla Form Tipi"
"Form code is not defined","Form kodu tanımlanmadı"
"Frontend label is not defined","Ön Sayfa başlığı belirlenmedi"
"Input Validation for Store Owner","Yöneticiler için Veri Giriş Kontrolü"
"Integer Number","Tamsayı"
"Invalid EAV attribute.","Hatalı EAV özelliği."
"Invalid alias, already exists in joint attributes","Hatalı takma ad, aynı adda bir özellik zaten var"
"Invalid attribute name: %s","Hatalı özellik adı : %s"
"Invalid attribute requested: %s","Hatalı özellik istendi : %s"
"Invalid attribute type","Hatalı özellik tipi"
"Invalid character encountered in increment ID: %s","Otomatik artan sayaç verisinde hatalı karakter bulundu : %s"
"Invalid date","Hatalı tarij"
"Invalid default date","Hatalı varsayılan tarih"
"Invalid default decimal value","Hatalı varsayılan ondalıklı değer"
"Invalid entity specified","Hatalı varlık belirtildi"
"Invalid entity supplied.","Hatalı kayıt girildi."
"Invalid entity supplied: %s","Hatalı varlık verildi: %s"
"Invalid entity type","Hatalı varlık tipi"
"Invalid entity_id, skipping the record.","Hatalı entity_id, kayıt atlanıyor."
"Invalid entity_type specified: %s","Hatalı varlık tipi (entity_type) belirtildi: %s"
