"%s","%s"
"-- Please Select --","-- Lütfen Seçiniz --"
"Actions","İşlemler"
"Add Layout Update","Yapı Güncellemesi Ekle"
"Add New Widget Instance","Yeni Bir Kutucuk Ekle"
"All","Hepsi"
"All Pages","Tüm Sayfalar"
"All Product Types","Tüm Ürün Tipleri"
"An error occurred during saving a widget: %s","Bir widget kaydedilirken hata oluştu: %s"
"Anchor Categories","Bağlantılı Kategoriler"
"Apply","Uygula"
"Assign to Store Views","Mağaza Görünümü ile İlişkilendir"
"Big Image","Büyük Resim"
"Block Reference","Blok Referansı"
"CMS","CMS"
"Categories","Kategoriler"
"Choose...","Seçiniz..."
"Close","Kapat"
"Continue","Devam Et"
"Default Template","Varsayılan Tema"
"Delete","Sil"
"Design Package/Theme","Tasarım Paketi/Teması"
"Export to:","Veri Çıkar:"
"Frontend Properties","Ön Sayfa Ayarları"
"Generic Pages","Genel Sayfalar"
"Images","Resimler"
"Insert Widget","Kutucuk Ekle"
"Insert Widget...","Kutucuk Ekle..."
"Layout Updates","Yapı Güncellemesi"
"Manage Widget Instances","Kutucuk Örneklerini Yönet"
"New Instance","Yeni Örnek"
"New Widget Instance","Kutucuk Örneği Ekle"
"Next page","Sonraki Sayfa"
"Non-Anchor Categories","Bağlantılı Olmayan Kategoriler"
"Not Selected","Seçilmedi"
"Open Chooser","Seçiciyi Aç"
"Page","Sayfa"
"Please Select Block Reference First","Lütfen Önce Blok Bağlantısını Seçiniz"
"Previous page","Önceki sayfa"
"Products","Ürünler"
"Remove Layout Update","Yapı Güncellemesini Kaldır"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Select All","Hepsini Seç"
"Select Visible","Görünenleri Seç"
"Settings","Ayarlar"
"Sort Order","Sıralama"
"Sort Order of widget instances in the same block reference","Aynı blok içindeki kutucukların sıralama şekli"
"Specific %s","Özel %s"
"Specified Page","Belirtilen Sayfa"
"Template","Tema"
"The information in this tab has been changed.","Bu sekmedeki veri değişti."
"The widget instance has been deleted.","Kutucuk örneği silindi."
"The widget instance has been saved.","Kutucuk örneği kaydedildi."
"This tab contains invalid data. Please solve the problem before saving.","Bu sekme hatalı veri içeriyor. Kaydetmeden önce sorunu çözünüz."
"Thumbnail","Küçük Resim"
"Total %d records found","Toplam %d kayıt bulundu"
"Type","Tip"
"Unselect All","Seçimi Kaldır"
"Unselect Visible","Görünenleri Seçimden Kaldır"
"View","Göster"
"Widget","Kutucuk"
"Widget ""%s""","Kutucuk ""%s"""
"Widget ID","Kutucuk ID"
"Widget Insertion","Kutucuk Ekleme"
"Widget Instance","Kutucuk Örneği"
"Widget Instance Title","Kutucuk Örneği Başlığı"
"Widget Options","Kutucuk Seçenekleri"
"Widget Type","Kutucuk Tipi"
"Widget Type is not specified","Kutucuk tipi belirlenmedi"
"Widget instance is not full complete to create.","Kutucuk örneği kaydetmek için yeterli değil."
"Widgets","Kutucuklar"
"Wrong widget instance specified.","Hatalı kutucuk örneği seçildi."
"items selected","kayıt seçildi"
"of %s pages","/ %s sayfa"
"per page","sayfa başı"
