"Add","新增"
"Add gift message for shopping cart","為購物車新增禮品消息"
"Add gift messages for quote item of shopping cart","為購物車中的報價項目新增禮品消息"
"Add gift messages to products of shopping cart","新增禮品消息到購物車中的產品"
"Add gift options","新增禮品選項"
"Add gift options for Individual Items","為單個項目新增禮品選項"
"Add gift options for the Entire Order","為整個訂單新增禮品選項"
"Add gift options.","新增禮品選項。"
"Allow Gift Messages for Order Items","允許為訂單項目新增禮品消息"
"Allow Gift Messages on Order Level","允許按訂單級別新增禮品消息"
"An error occurred while saving the gift message.","保存禮品消息時發生錯誤。"
"Are you sure?","您是否確認？"
"Cancel","取消"
"Do you have any gift items in your order?","您的訂單中包含任何禮品項目嗎？"
"Edit","編輯"
"From","來自"
"Gift Message","禮品消息"
"Gift Message API","禮品消息 API"
"Gift Options","禮品選項"
"Gift Options for","禮品選項，適用於"
"Gift Options for Individual Items","適用于單個項目的禮品選項"
"Gift Options for the Entire Order.","適用於整個訂單的禮品選項。"
"Gift Options for this address.","適用於該地址的禮品選項。"
"Item %d of %d","第 %d 個項目，共 %d 個"
"Message","資訊"
"No","否"
"OK","確定"
"Save Gift Message","保存禮品資訊"
"The gift message has been removed","禮品資訊已刪除"
"The gift message has been saved","禮品資訊已保存"
"The gift message has been saved.","禮品資訊已保存。"
"To","發送至"
"Unknown entity type","未知實體類型"
"Use config","用戶配置"
"Yes","是"
"You can leave this box blank if you do not wish to add a gift message for the item.","如果您不想為該商品新增禮品資訊，則可以在這裡留空。"
"You can leave this box blank if you do not wish to add a gift message for this address.","如果您不想為該地址新增禮品資訊，則可以在這裡留空。"
"You can leave this box blank if you do not wish to add a gift message for whole order.","如果您不想為整個訂單新增禮品資訊，則可以在這裡留空。"
