"A block identifier with the same properties already exists in the selected store.","Seçili mağazada belirttiğiniz isimde ve aynı özelliklerde bir blok tanıtıcısı zaten var."
"A directory with the same name already exists. Please try another folder name.","Aynı adda bir klasör zaten var. Lütfen başka bir klasör adı kullanınız."
"A page URL key for specified store already exists.","Bu mağaza için aynı şekilde bir URL anahtarı zaten var."
"Action","İşlem"
"Add New Block","Yeni Blok Ekle"
"Add New Page","Yeni Sayfa Ekle"
"All Countries","Tüm Ülkeler"
"An error occurred while saving the page.","Sayfa kaydedilirken bir hata oluştu."
"Anchor Custom Text","Bağlantı için Yazı"
"Anchor Custom Title","Bağlantı için Başlık"
"Are you sure you want to delete current folder?","Bu klasörü silmek istediğinizden emin misiniz ?"
"Are you sure you want to delete the selected file?","Seçili dosyayı silmek istediğinizden emin misiniz?"
"Block","Blok"
"Block Information","lok Bilgisi"
"Block Title","Blok Başlığı"
"CMS","İçerik Yönetimi (CMS)"
"CMS Content Wrapper","CMS İçerik Çerçevesi"
"CMS Home Page","İçerik Yönetimi Ana Sayfası"
"CMS No Cookies Page","CMS 'Çerez özelliği açık değil' sayfası"
"CMS No Route Page","İçerik Yönetimi Sayfa Bulunamadı Sayfası"
"CMS No-Route Page","CMS 'Yönlendirme yapılamıyor' sayfası"
"CMS Page","CMS Sayfası"
"CMS Page Link","CMS Sayfa Bağlantısı"
"CMS Page Link Block Template","CMS Sayfa Bağlantısı Blok Teması"
"CMS Page Link Inline Template","CMS Sayfa Bağlantısı iç Teması"
"CMS Pages (All)","CMS Sayfaları (Hepsi)"
"CMS Static Block","CMS Statik Blok"
"CMS Static Block Default Template","CMS Statik Blok Varsayılan Tema"
"Cannot create new directory.","Yeni klasör oluşturulamıyor."
"Cannot delete directory %s.","%s klasörü silinemiyor."
"Cannot delete root directory %s.","Ana klasör %s silinemiyor."
"Cannot upload file.","Dosya yüklenemiyor."
"Collapse All","Hepsini Aç"
"Content","İçerik"
"Content Heading","İçerik Başlığı"
"Content Management","İçerik Yönetimi"
"Contents of a Static Block","Statik Bloğun İçeriği"
"Create Folder...","Klasör oluştur..."
"Custom Design","Özel Tasarım"
"Custom Design From","Özel Tasarım Uygulaması Başlangıç Tarihi"
"Custom Design To","Özel Tasarım Uygulaması Bitiş Tarihi"
"Custom Layout","Yapı Güncellemesi"
"Custom Layout Update XML","Yapı Güncellemesi için XML Verisi"
"Custom Theme","Özel Tema"
"Customer Tax Class Information","Müşteri Vergi Sınıfı Bilgisi"
"Date Created","Oluşturulma Tarihi"
"Delete Block","Bloku Sil"
"Delete File","Dosya Sil"
"Delete Folder","Klasör Sil"
"Delete Page","Sayfayı Sil"
"Description","Açıklama"
"Design","Tasarım"
"Disabled","Kapalı"
"Disabled Completely","Tamamen Devre Dışı"
"Disabled by Default","Varsayılan olarak Devre Dışı"
"Edit Block","Bloku Düzenle"
"Edit Block '%s'","Bloku Düzenle '%s'"
"Edit Page","Sayfayı Düzenle"
"Edit Page '%s'","Sayfayı Düzenle '%s'"
"Enable WYSIWYG Editor","WYSIWYG Editörünü Aç"
"Enabled","Aktif"
"Enabled by Default","Varsayılan olarak Açık"
"Expand All","Hepsini Genişlet"
"General Information","Genel Bilgi"
"Go to Home Page","Ana Sayfaya Git"
"Home","Ana Sayfa"
"ID","No"
"Identifier","Belirteç"
"If empty, the Page Title will be used","Eğer boş bırakırsanız, Sayfa Başlığı kullanılacaktır"
"Images (%s)","Resimler (%s)"
"Insert File","Dosya Ekle"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Hatalı klasör adı. Lütfen, sadece harfler, rakamlar, alt çizgi (_) ve tire (-) kullanınız."
"Keywords","Anahtar Kelimeler"
"Last Modified","Son Güncellenme"
"Layout","Yapı"
"Layout Update XML","Yapı Güncelleme XML"
"Link to a CMS Page","Bir CMS sayfasına bağlantı"
"Manage Pages","Sayfaları Yönet"
"Media Gallery","Medya Galerisi"
"Media Storage","Medya Dosyaları Alanı"
"Meta Data","Meta Bilgisi"
"Meta Description","Meta Açıklaması"
"Meta Keywords","Meta Anahtar Kelimeleri"
"New Block","Yeni Blok"
"New Folder Name:","Yeni Klasör Adı:"
"New Page","Yeni Sayfa"
"No files found","Hiç dosya yok"
"Page Information","Sayfa Bilgisi"
"Page Layout","Sayfa Yapısı"
"Page Status","Sayfa Durumu"
"Page Title","Sayfa Başlığı"
"Pages","Sayfalar"
"Product Tax Class Information","Ürün Vergi Sınıfı Bilgisi"
"Redirect to CMS-page if Cookies are Disabled","Eğer tarayıcı Çerezleri desteklemiyorsa bu sayfaya yönlendir"
"Relative to Website Base URL","Web Sitesi ana adresiyle ilişkili"
"Save Block","Bloku Kaydet"
"Save Page","Sayfayı Kaydet"
"Save Process","İşlemi Kaydet"
"Select Block...","Blok Seçiniz..."
"Select Page...","Sayfa Seçiniz..."
"Show Breadcrumbs for CMS Pages","CMS Sayfaları için site yolu (breadcrumb) göster"
"Show Notice if JavaScript is Disabled","Eğer Javascript devre dışı ise mesaj göster"
"Static Blocks","Bloklar"
"Status","Durum"
"Storage Root","Depolama Kök Klasörü"
"Store View","Mağaza Görünümü"
"Template","Tema"
"The block has been deleted.","Blok silindi."
"The block has been saved.","Blok kaydedildi."
"The directory %s is not writable by server.","%s klasörüne yazma hakkı yok."
"The page URL key cannot consist only of numbers.","URL anahtarı sadece numaradan oluşamaz."
"The page URL key contains capital letters or disallowed symbols.","Sayfa adresi anahtar kelimesi büyük harfler ve izin verilmeyen semboller içeriyor."
"The page has been deleted.","Sayfa silindi."
"The page has been saved.","Sayfa kaydedildi."
"The static block content cannot contain  directive with its self.","Statik blok içeriğinde kendisini işaret eden direktif olamaz."
"This block no longer exists.","Blok bulunamıyor."
"This page no longer exists.","Sayfa bulunamıyor."
"Title","Başlık"
"URL Key","Adres Anahtar Kelimesi"
"Unable to find a block to delete.","Silinecek bir blok bulunamadı."
"Unable to find a page to delete.","Silinecek bir sayfa bulunamadı."
"WYSIWYG Options","WYSIWYG Seçenekleri"
"px.","px."
