"%s - Discounts and Coupons","%s - 折扣與代金券"
"%s - Special Products","%s - 特價產品"
"%s RSS Feed","%s RSS源"
"%s has reached a quantity of %s.","%s 已經達到了一些 %s"
"%s\'s Wishlist","%s 的願望清單"
"Cannot retrieve the wishlist","無法獲取願望清單"
"Catalog","分類"
"Category Feeds","分類源"
"Click for price","單擊獲取價格"
"Comment: %s<br/>","評論：%s <br>"
"Coupons/Discounts","代金券/折扣"
"Current Status: %s<br/>","當前狀態：%s <br>"
"Customer Name: %s","客戶名稱：%s"
"Customer Order Status Notification","客戶訂單狀態通知"
"Details for %s #%s","%s #%s的詳情"
"Discount","折扣"
"Discount (%s)","折扣（%s）"
"Enable RSS","啟用RSS"
"Error in processing xml. %s","處理xml時出錯。%s"
"From:","來自："
"Get Feed","獲取源"
"Gift Message","禮品消息"
"Grand Total","總計"
"Low Stock Products","低庫存產品"
"Message:","資訊："
"Miscellaneous Feeds","雜項源訂閱"
"New Orders","新訂單"
"New Products","新產品"
"New Products from %s","新產品來自 %s"
"Notified Date: %s<br/>","通知日期：%s<br>"
"Order # %s Notification(s)","訂單 # %s 通知"
"Order #%s created at %s","訂單 # %s 已於 %s 建立"
"Pending product review(s)","待產品評論（）"
"Product: ""%s"" review By: %s","產品：""%s"" 由 %s 評論"
"Product: <a href=""%s"">%s</a> <br/>","產品：<a href="" %s""="">%s</a> <br>"
"Products tagged with %s","已標記 %s 的產品"
"Purchased From: %s","購買自：%s"
"RSS","RSS"
"RSS Feeds","RSS 訂閱源"
"RSS Feeds List","RSS 訂閱源列表"
"RSS Feeds Section","RSS訂閱組"
"Review: %s <br/>","評價：%s <br>"
"Rss Config","RSS 配置"
"Shipping &amp; Handling","運送與手續費"
"Special Products","特殊商品"
"Store: %s <br/>","商店：%s <br>"
"Subtotal","小計"
"Summary of review: %s <br/>","評論摘要：%s <br>"
"Tags Products","標記產品"
"Tax","傳真"
"There are no Rss Feeds","沒有RSS源"
"To:","至："
"Top Level Category","頂級分類"
"Total: %s<br/>","總數：%s <br>"
"Wishlist","願望清單"
"click <a href=""%s"">here</a> to view the review","點擊 <a href="" %s""="">這裡</a> 查看評測"
