"3D Secure","3D பாதுகாப்பு"
"3D Secure Card Validation","3D பாதுகாப்பு அட்டை சரிபார்ப்பு"
"API Login ID","API உள்நுழைவு அடையாளம்"
"Accepted Currency","நாணயம் ஏற்றுக் கொள்ளப்பட்டது"
"Allow Partial Authorization","பகுதியாக அங்கீகரித்தலை  அனுமதி"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","நீங்கள் உங்கள் கட்டணத்தை ரத்து செய்ய வேண்டுமா? உங்கள் கட்டணத்தை ரத்து செய்து தொகையை விடுவிக்க சரி என்பதை கிளிக் செய்யவும். மற்றொரு கடன் அட்டை தட்டச்சு செய்து பணம் செலுத்த தொடர ரத்து என்பதை கிளிக் செய்யவும்."
"Authorize Only","அங்கீகரிக்க மட்டுமே "
"Authorize and Capture","அங்கீகரித்து  மற்றும் கைப்பற்று"
"Authorize.Net Transaction ID %s","Authorize.Net பரிவர்த்தனை ஐடி%s கள்"
"Authorize.net","Authorize.net"
"Cancel","ரத்து"
"Centinel API URL","சென்டினல் API இணைய முகவரி"
"Credit Card Types","கடன் அட்டை வகைகள் "
"Credit Card Verification","கடன் அட்டை சரிபார்த்தல் "
"Credit Card: xxxx-%s","கடன் அட்டை: xxxx-%s கள்"
"Debug","வழு நீக்கு"
"Email Customer","மின்னஞ்சல் வாடிக்கையாளர்"
"Enabled","இயலுமைப்படுத்து "
"Error in payment gateway.","கட்டணம் செலுத்தும் நுழைவாயிலில்  பிழை."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","நுழைவாயில் பரிமாற்றங்கள் ஒன்று அல்லது அதற்கு மேற்பட்ட முடிக்க முடியாது, ஏனெனில் நுழைவாயில் நடவடிக்கைகள் பூட்டப்பட்டது. கைமுறையில் பிரச்சினை (s) தீர்க்க உங்கள் Authorize.Net கணக்கில் உள்நுழையவும்."
"Gateway error: %s","கேட்வே பிழை : %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","காலியாக இருந்தால், ஒரு முன்னிருப்பு மதிப்பு பயன்படுத்தப்படும். தனிப்பயன் URL CardinalCommerce ஒப்பந்தம் வழங்கப்படும்."
"Invalid amount for authorization.","அங்கீகாரத்திற்கு  செல்லுபடியாகாத தொகை."
"Invalid amount for capture.","கைப்பற்றப்பட்ட செல்லுபடியாகாத தொகை."
"Invalid amount for partial authorization.","பகுதியளவு அங்கீகாரத்திற்கு  செல்லுபடியாகாத தொகை."
"Invalid amount for refund.","கட்டணத்தை திரும்ப பெற செல்லுபடியாகாத தொகை."
"Invalid split tenderId ID.","தவறான பிரிந்த tenderId ஐடி."
"Maximum Order Total","மிக அதிகப்படியான மொத்த தொகை "
"Merchant's Email","வணிகரின்  மின்னஞ்சல்"
"Minimum Order Total","மிக குறைவான மொத்த தொகை "
"New Order Status","புதிய ஆர்டரின் நிலை "
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net transaction (ID %s) expired"
"Payment Action","பணம் செலுத்துவதர்க்கான  அடுத்த அடி "
"Payment authorization error.","தங்களின் பண பரிவத்தனையில்பிழை ஏற்பட்டுள்ளது"
"Payment canceling error.","கட்டணம் ரத்துசெய்வதில் பிழை."
"Payment capturing error.","கட்டணம் கைப்பற்றுவதில்  பிழை."
"Payment from Applicable Countries","குறிப்பிட்ட நாடுகளில் இருந்து பணம் பெருவதற்க்கு "
"Payment from Specific Countries","குறிப்பிட்ட நாடுகளில் இருந்து பணம் பெருவதற்க்கு "
"Payment partial authorization error.","கட்டணம் பகுதியளவு அங்கீகரிப்பு பிழை."
"Payment refunding error.","கட்டணம் திருப்பிக் கொடுக்கும் பொழுது  பிழை."
"Payment updating error.","கட்டணம் புதுப்பிக்கும்போது பிழை ."
"Payment voiding error.","கட்டணம் களைவதில்  பிழை."
"Processed Amount","செயல்படுத்தப்பட்ட தொகை"
"Remaining Balance","மீதமுள்ள இருப்பு"
"Severe 3D Secure Card Validation","கடுமையான 3D பாதுகாப்பு அட்டை சரிபார்ப்பு"
"Severe Validation Removes Chargeback Liability on Merchant","கடுமையான சரிபார்த்தல் வணிகர் மீது பெறுதல் கடன் பொறுப்பு அகற்றுகிறது"
"Shopping cart contents and/or address has been changed.","வணிக வண்டியில் உள்ளடக்கங்கள் மற்றும் / அல்லது முகவரி மாற்றப்பட்டுள்ளது."
"Sort Order","வரிசை முறை "
"Test Mode","சோதனை முறை"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","உங்கள் கடன் அட்டை தொகை உங்கள் கொள்முதல் முடிக்க பற்றாக்குறையாக உள்ளது. கிடைக்கும் தொகை நிறுத்தி வைக்கப்பட்டுள்ளது. உங்கள் வாங்குதல் முடிக்க சரி என்பதை கிளிக் செய்யவும் மற்றும் கூடுதல் கடன் அட்டை எண் குறிப்பிடவும். வாங்குதல் ரத்து செய்துவிட்டு ஹோல்டில்வைத்திருந்த தொகையை  வெளியிட, ரத்து என்பதை கிளிக் செய்யவும்."
"There was an error canceling transactions. Please contact us or try again later.","ஒரு கட்டண நடவடிக்கையை ரத்துசெய்வதில் பிழை  இருந்தது. எங்களை தொடர்பு கொள்ளவும் அல்லது பின்னர் மீண்டும் முயற்சிக்கவும்."
"Title","தலைப்பு"
"Transaction Key","பரிவர்த்தனைக்காண சாவி "
"You have reached the maximum number of credit card allowed to be used for the payment.","நீங்கள் கட்டணம் செலுத்த பயன்படுத்தபடும்  அனுமதி கடன் அட்டையை அதிகபட்சமாக பயன்படுத்தி அதிகபட்ச எண்ணிக்கை அடைந்துவிட்டீர்கள்."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","நீங்கள் ஒரு முறை பணம் செலுத்துவதற்கு அதிகப்படியான கடன் அட்டைகளை பயன்டுத்திவிட்டீர்கள். உங்கள் கடன் அட்டையில் உள்ள தொகை மூலம் இந்த கட்டணத்தை செலுத்த போதுமானதாக இல்லை. கட்டணம் செலுத்தப்படாமல் தொகை விடுவிக்கப்பட்டன "
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","உங்கள் கடன் அட்டை நிராகரிக்கப்பட்டது . உங்கள் வாங்குதல் முடிக்க மற்றொரு கடன் அட்டை என்னை குறிப்பிட்டு சரி என்பதை கிளிக் செய்யவும். ஹோல்டில் வைத்திருந்த தொகையை  வெளியிட ரத்து என்பதை கிளிக் செய்யவும் மேலும்  மற்றொரு கட்டண முறையை தேர்ந்தெடுக்கவும்."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","வணிக வண்டி மற்றும் / அல்லது முகவரி உள்ளடக்கங்களை மாற்றப்பட்டுள்ளதன் காரணமாக உங்கள் ஆர்டர் நிறுத்தி வைக்கப்பட்டுள்ளது. நீங்கள் முன்பு செலுத்திய தொகையில் அங்கிகீரிக்கபட்ட தொகை இப்போது வெளியானது.  உங்கள் சமீபத்திய கார்ட் உள்ளடக்கம் இன்னும் புதுப்பித்து செயல்முறை மூலம் செல்லுங்கள்."
"Your payment has been cancelled. All authorized amounts have been released.","உங்கள் கட்டணம் ரத்து செய்யப்பட்டது. அனைத்து அங்கீகரிக்கப்பட்ட தொகையும்  வெளியானது."
"amount %s","தொகை %s"
"authorize","அங்கீகரி"
"authorize and capture","அங்கீகரித்து  மற்றும் கைப்பற்று"
"capture","கைப்பற்ற"
"failed","தோல்வி"
"refund","கட்டணத்தை திரும்ப பெற"
"successful","வெற்றி"
"void","ஒன்றுமில்லாத"
