"-- Please select --","-- Lütfen Seçiniz --"
"Allowed Currencies","İzin Verilen Para Birimleri"
"Base Currency","Ana Para Birimi"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Ana para birimi sistemden yapılacak tüm ödeme işlemlerinde kullanılacaktır. Fiyat havuzu Katalog fiyat havuzundan alınmaktadır (""Katalog"" > ""Fiyat"" > ""Katalog Fiyat Havuzu"")."
"Can\'t convert rate from ""%s-%s"".","""%s-%s"" döviz çevrimi yapılamıyor."
"Cannot retrieve rate from %s.","%s adresinden döviz kuru bilgisi alınamadı."
"Connection Timeout in Seconds","Bağlantı Zaman Aşımı ( Saniye )"
"Continue &raquo;","Devam &raquo;"
"Country","Ülke"
"Country API","Ülke APIsi"
"Country and Format Type combination should be unique","Ülke ve biçim bilgileri eşsiz olmalıdır"
"Currency","Para Birimi"
"Currency Options","Para Birimi Seçenekleri"
"Currency Setup","Para Birimi Ayarları"
"Currency Update Warnings","Kur Güncelleme Uyarıları"
"Default Display Currency","Varsayılan Gösterilecek Para Birimi"
"Directory","Dizin"
"Display not required State","Gerekli olmayan şehirleri de göster"
"Enabled","Aktif"
"Error Email Recipient","Hata Bildirimi E-Mail Alıcısı"
"Error Email Sender","Hata Bildirimi E-Mail Göndericisi"
"Error Email Template","Hata Bildirimi E-Mail Şablonu"
"FATAL ERROR:","KURTARILAMAZ HATA :"
"Frequency","Aralık"
"Installed Currencies","Kurulu Para Birimleri"
"Invalid Import Service specified.","Hatalı Veri Sağlayıcısı seçimi."
"Invalid country code: %s","Hatalı Ülke Kodu : %s"
"Invalid rates received","Alınan kur bilgileri hatalı"
"Invalid target currency.","Hatalı hedef para birimi."
"List of countries","Ülke listesi"
"List of regions in specified country","Seçili ülkenin bölgeleri/şehirleri"
"Postal Code is Optional for the following countries","Belirlenen ülkeler için Posta Kodu zorunlu değildir"
"Region","Bölge"
"Region API","Bölge/Şehir APIsi"
"Scheduled Import Settings","Zamanlanmış Kur Güncelleme Ayarları"
"Select Your Currency","Para Birimi Seçiniz"
"Service","Servis"
"Start Time","Başlangıç Saati"
"State is required for","Şehir bilgisi gerekli"
"State/Province","Şehir"
"States Options","Şehir Seçenekleri"
"Strikeiron Email Update Warnings","Strikeiron Email Güncelleme Uyarıları"
"Unable to initialize the import model.","Veri alma modeli başlatılamadı."
"Undefined rate from ""%s-%s"".","Hatalı döviz kuru : ""%s-%s""."
"WARNING:","UYARI :"
"Webservicex","Webservicex"
"Your current currency is: %s","Kullanımda Olan Para Birimi : %s"
