"Alert Email Sender","דואר אלקטרוני השולח של התרעה"
"Alert subscription has been saved.","Alert subscription has been saved."
"Allow Alert When Product Comes Back in Stock","Allow Alert When Product Comes Back in Stock"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Click here not to receive alerts for this product","לחץ כאן כדי להפסיק לקבל התראות על מוצר זה"
"Error Email Recipient","הנמען לקבלת הודעת שגיאה"
"Error Email Sender","השולח הודעת שגיאה"
"Error Email Template","תבנית של הודעת השגיאה"
"Frequency","תדירות"
"Not enough parameters.","Not enough parameters."
"Price Alert Email Template","Price Alert Email Template"
"Price:","מחיר:"
"Product Alerts","תזכורות מוצר"
"Product Alerts Run Settings","הגדרות הרצת התראות מוצרים"
"Product alerts Cron error","שגיאת תזמון של התראות מוצרים"
"Product price alert","התראה על מחיר מוצר"
"Product stock alert","התראה על מלאי למוצר"
"Regular Price:","מחיר רגיל:"
"Sign up for price alert","הרשם להתראה על מחיר"
"Sign up to get notified when this product is back in stock","הרשם להתראה על חזרה למלאי"
"Special price:","מחיר מבצע:"
"Start Time","שעת התחלה"
"Stock Alert Email Template","Stock Alert Email Template"
"The alert subscription has been deleted.","The alert subscription has been deleted."
"The alert subscription has been saved.","The alert subscription has been saved."
"The product is not found.","The product is not found."
"The product was not found.","The product was not found."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"Unsubscribe from all price alerts","בטל קבלת כל ההתראות על מחירים"
"Unsubscribe from all stock alerts","בטל קבלת כל ההתראות על המלאי"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","ביקשת לקבל התראה כאשר המוצרים הבאים חוזרים למלאי:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","ביקשת לקבל התראה כאשר מחירי המוצרים הבאים משתנים:"
"You will no longer receive price alerts for this product.","You will no longer receive price alerts for this product."
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product."
"You will no longer receive stock alerts.","You will no longer receive stock alerts."
