"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Kredi Kartı Doğrulama"
"API Login ID","API Giriş Kodu"
"Accepted Currency","Kabul Edilen Para Birimi"
"Allow Partial Authorization","Kısmi Doğrulamaya İzin Ver"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Ödemenizi iptal etmek istediğinizden emin misini ? Beklemedeki ücreti ve ödemenizi iptal etmek için Tamam tuşuna basınız. Başka bir Kredi Kartı ekleyip ücreti ödeyip siparişe devam etmek için İptal tuşuna basınız."
"Authorize Only","Kimlik Doğrulaması Gerektirir"
"Authorize and Capture","Kimlik Onaylaması yap ve Veri Al"
"Authorize.Net Transaction ID %s","Authorize.Net İşlem No %s"
"Authorize.net","Authorize.net"
"Cancel","İptal"
"Centinel API URL","Centinel API Adresi"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Onayı"
"Credit Card: xxxx-%s","Kredi Kartı : xxxx-%s"
"Debug","Hata Ayıklama"
"Email Customer","Müşteriye Bildir"
"Enabled","Aktif"
"Error in payment gateway.","Tahsilat sisteminde bir hata oluştu."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Geçit işlemleri kilitlendi, çünkü geçit üzerinden yapılan bir veya daha fazla işlemde sorun oluştu. Bu sorunları çözmek için Authorize.Net hesabınıza giriş yapınız."
"Gateway error: %s","Sunucu hatası : %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Eğer boş bırakırsanız, varsayılan değer kullanılır. CardinalCommerce sözleşmesinde alternatif bir url bulabilirsiniz."
"Invalid amount for authorization.","Ödeme işlemi için hatalı sipariş toplamı."
"Invalid amount for capture.","Çekilecek toplam değeri hatalı."
"Invalid amount for partial authorization.","Kısmi doğrulama için hatalı toplam."
"Invalid amount for refund.","İade için hatalı toplam."
"Invalid split tenderId ID.","Hatalı tenderId No."
"Invalid transaction ID.","Invalid transaction ID."
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant's Email","Üye İşyeri E-Mail Adresi"
"Minimum Order Total","En Düşük Sipariş Toplamı"
"New Order Status","Yeni Sipariş Durumu"
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net transaction (ID %s) expired"
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme onay hatası."
"Payment canceling error.","Ödeme iptal edilirken hata oluştu."
"Payment capturing error.","Tahsilat yapılırken hata oluştu."
"Payment from Applicable Countries","İzin Verilen Tüm Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçili Ülkelerden Tahsilat"
"Payment partial authorization error.","Ödeme kısmi doğrulamada hata."
"Payment refunding error.","Ödeme iadesinde hata oluştu."
"Payment updating error.","Ödeme güncellenirken hata oluştu."
"Payment voiding error.","Ödeme iptalinde hata oluştu."
"Processed Amount","İşlem Toplamı"
"Remaining Balance","Kalan Bakiye"
"Severe 3D Secure Card Validation","Kart Doğrulamada Ciddi Sorun"
"Severe Validation Removes Chargeback Liability on Merchant","Ciddi onaylama ile Geri Ödeme olasılığı çok düşer"
"Shopping cart contents and/or address has been changed.","Sepet içeriği veya adres bilgisi değişti."
"Sort Order","Sıralama"
"Test Mode","Test Modu"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Kredi kartınızın limiti bu alışveriş için yeterli değil. Kredi kartınızdaki mevcut bakiye askıya alındı. Siparişinizi tamamlamak için Tamam'a basarak başka bir kart daha veriniz. Eğer kartınızdan askıya alınan rakamı iade almak ve siparişi iptal etmek için İptal tuşuna basınız."
