"""%s"" contains not only digit characters.","""%s""不僅包含數字字符。"
"""%s"" does not fit the entered date format.","""%s""不符合輸入的日期格式。"
"""%s"" exceeds the allowed file size.","""%s""超過了允許的文件大小。"
"""%s"" exceeds the allowed length.","""%s""超過允許的長度。"
"""%s"" has not only alphabetic and digit characters.","""%s""不僅字母和數字字符。"
"""%s"" has not only alphabetic characters.","""%s""不僅有字母字符。"
"""%s"" height exceeds allowed value of %s px.","""%s""高度超過允許值的%spn。"
"""%s"" invalid type entered.","""%s""輸入無效的類型。"
"""%s"" is a required value.","""%s""是一個必需的值。"
"""%s"" is an empty string.","""%s""是一個空字符串。"
"""%s"" is not a valid URL.","""%s""不是一個有效的URL。"
"""%s"" is not a valid date.","""%s""不是一個有效日期。"
"""%s"" is not a valid email address.","""%s""不是一個有效的電子郵件地址。"
"""%s"" is not a valid file","""%s""不是一個有效的文件"
"""%s"" is not a valid file extension.","""%s""不是一個有效的文件擴展名。"
"""%s"" is not a valid file.","""%s""不是一個有效的文件。"
"""%s"" is not a valid hostname.","""%s""不是一個有效的主機名。"
"""%s"" is not a valid image format","""%s""不是一個有效的圖像格式"
"""%s"" length must be equal or greater than %s characters.","""%s""的長度必須等於或大於%s的字串。"
"""%s"" length must be equal or less than %s characters.","""%s""的長度必須等於或小於%s的字串。"
"""%s"" width exceeds allowed value of %s px.","""%s""的寬度超過允許值的%spx。"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","""%value%"" 似乎是一個 DNS 主機名，但無法提取 TLD 部分"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","""%value%"" 似乎是一個 DNS 主機名，但無法與已知列表匹配 TLD"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","""%value%"" 似乎是一個 DNS 主機名，但無法與 TLD ""%tld%"" 的主機名模式相匹配。"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","""%value%"" 似乎是一個 DNS 主機名，但在無效位置包含破折號"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' 似乎是 DNS 主機名，但無法對指定的 Punycode符號解碼"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' 似乎是本地網路名稱，此處不能使用本地網路名稱"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' 似乎是 IP 地址，此處不能使用 IP 地址"
"'%value%' does not appear to be a valid URI hostname","'%value%' 似乎不是有效的 URI 主機名"
"'%value%' does not appear to be a valid local network name","'%value%' 似乎不是有效的本地網路名"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' 無法與預期的 DNS 主機名相匹配"
"A joint field with this alias (%s) is already declared","使用該別名 (%s) 的聯合欄位已聲名"
"Add Option","新增選項"
"An error occurred while loading a record, aborting. Error: %s","載入記錄時出錯，正在忽略。錯誤：%s"
"An error occurred while loading the collection, aborting. Error: %s","載入集合時出錯，正在忽略。錯誤：%s"
"An error occurred while saving a record, aborting. Error: ","保存記錄時出錯，正在忽略。錯誤："
"Attempt to add an invalid object","嘗試新增的對象無效"
"Attribute '%s' used in configurable products","配置產品中使用的屬性 '%s'"
"Attribute Code","屬性代碼"
"Attribute Label","屬性標籤"
"Attribute Properties","屬性的屬性"
"Attribute object is undefined","屬性對象未定義"
"Attribute set with the ""%s"" name already exists.","屬性集""%s""的名稱已經存在。"
"Attribute with the same code","使用相同代碼的屬性"
"Can\'t create table: %s","無法建立表格：%s"
"Catalog Input Type for Store Owner","店舖所有者的分類輸出類型"
"Current module EAV entity is undefined","當前模塊EAV實體未定義"
"Current module pathname is undefined","當前模塊路徑名未定義"
