"A block identifier with the same properties already exists in the selected store.","具有相同屬性的區塊標識符已在選定的商店存在。"
"A directory with the same name already exists. Please try another folder name.","具有同樣名稱的目錄已存在。請嘗試另一個文件夾名稱。"
"A page URL key for specified store already exists.","特定商店的頁面 URL 密鑰已存在。"
"Action","操作"
"Add New Block","新增區塊"
"Add New Page","新增頁面"
"All Countries","全部國家"
"An error occurred while saving the page.","保存頁面時發生錯誤。"
"Anchor Custom Text","自定文本錨點"
"Anchor Custom Title","自定標題錨點"
"Are you sure you want to delete current folder?","您確認要刪除當前文件夾嗎？"
"Are you sure you want to delete the selected file?","您確認要刪除已選擇的文件嗎？"
"Block","區塊"
"Block Information","塊資訊"
"Block Title","區塊標題"
"CMS","CMS"
"CMS Content Wrapper","CMS 內容包裝器"
"CMS Home Page","CMS首頁"
"CMS No Cookies Page","CMS 無 Cookie 頁面"
"CMS No Route Page","CMS 無路由頁面"
"CMS No-Route Page","CMS非路由頁"
"CMS Page","CMS 頁面"
"CMS Page Link","CMS 頁面連結"
"CMS Page Link Block Template","CMS頁面連結塊範本"
"CMS Page Link Inline Template","CMS頁面連結內聯摸板"
"CMS Pages (All)","CMS頁面（全部）"
"CMS Static Block","CMS 靜態區塊"
"CMS Static Block Default Template","CMS 靜態區塊預設範本"
"Cannot create new directory.","無法建立新目錄。"
"Cannot delete directory %s.","無法刪除目錄 %s。"
"Cannot delete root directory %s.","無法刪除根目錄 %s。"
"Cannot upload file.","無法上傳文件。"
"Collapse All","折疊全部"
"Content","內容"
"Content Heading","內容標題"
"Content Management","內容管理"
"Contents of a Static Block","靜態區塊的內容"
"Create Folder...","建立文件夾..."
"Custom Design","自定設計"
"Custom Design From","自定設計，來自："
"Custom Design To","自定設計到"
"Custom Layout","自定佈局"
"Custom Layout Update XML","自定佈局更新 XML"
"Custom Theme","自定主題"
"Customer Tax Class Information","自定稅費類別資訊"
"Date Created","建立日期"
"Delete Block","刪除區塊"
"Delete File","刪除文件"
"Delete Folder","刪除文件夾"
"Delete Page","刪除頁面"
"Description","描述"
"Design","設計"
"Disabled","已禁用"
"Disabled Completely","完全禁用"
"Disabled by Default","預設被禁用"
"Edit Block","編輯區塊"
"Edit Block '%s'","編輯區塊""%s"""
"Edit Page","編輯頁面"
"Edit Page '%s'","編輯頁面""%s"""
"Enable WYSIWYG Editor","啟用 WYSIWYG 編輯器"
"Enabled","已啟用"
"Enabled by Default","預設啟用"
"Expand All","全部展開"
"General Information","常規資訊"
"Go to Home Page","前往主頁"
"Home","主頁"
"ID","ID"
"Identifier","標識"
"If empty, the Page Title will be used","如果為空，將使用頁面標題"
"Images (%s)","圖片 (%s)"
"Insert File","插入文件"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","無效的文件夾名稱。請使用字母數字字符、下劃線和短劃線。"
"Keywords","關鍵詞"
"Last Modified","上次修改"
"Layout","佈局"
"Layout Update XML","佈局更新 XML"
"Link to a CMS Page","連結到 CMS 頁面"
"Manage Pages","管理頁面"
"Media Gallery","媒體庫"
"Media Storage","媒體存儲"
"Meta Data","Meta值"
"Meta Description","Meta描述"
"Meta Keywords","Meta關鍵字"
"New Block","新塊"
"New Folder Name:","新文件夾名稱："
"New Page","新頁面"
"No files found","沒有找到文件"
"Page Information","頁面資訊"
"Page Layout","頁面佈局"
"Page Status","頁面狀態"
"Page Title","頁面標題"
"Pages","頁面"
"Product Tax Class Information","產品稅費類別資訊"
"Redirect to CMS-page if Cookies are Disabled","如果 Cookie 被禁用，則重定向到 CMS 頁面"
"Relative to Website Base URL","關於網站基本 URL"
"Save Block","保存區塊"
"Save Page","保存頁面"
"Save Process","保存過程"
"Select Block...","選擇區塊..."
"Select Page...","選擇頁面..."
"Show Breadcrumbs for CMS Pages","顯示 CMS 頁面的麵包屑"
"Show Notice if JavaScript is Disabled","如果 JavaScript 被禁用，則顯示通知"
"Static Blocks","靜態塊"
"Status","狀態"
"Storage Root","存儲根目錄"
"Store View","店舖視圖"
"Template","範本"
"The block has been deleted.","該區塊已被刪除。"
"The block has been saved.","區塊已保存。"
"The directory %s is not writable by server.","目錄 %s 對伺服器端不可寫。"
"The page URL key cannot consist only of numbers.","頁面 URL 密鑰不能僅由數字組成。"
"The page URL key contains capital letters or disallowed symbols.","頁面 URL 密鑰包含大寫字母或不允許的符號。"
"The page has been deleted.","頁面已被刪除。"
"The page has been saved.","頁面已保存。"
"The static block content cannot contain  directive with its self.","靜態區塊的內容不能包含其自身的指令。"
"This block no longer exists.","區塊已不存在。"
"This page no longer exists.","該頁面已不存在。"
"Title","標題"
"URL Key","URL Key"
"Unable to find a block to delete.","無法找到可刪除的區塊。"
"Unable to find a page to delete.","無法找到要刪除的頁面。"
"WYSIWYG Options","WYSIWYG 選項"
"px.","像素"
