"%d Review(s)","%d חוות דעת"
"%s Review(s)","%s חוות דעת"
"(Posted on %s)","(פורסם ב %s)"
"1 star","כוכב 1"
"2 stars","2 כוכבים"
"3 stars","3 כוכבים"
"4 stars","4 כוכבים"
"5 stars","5 כוכבים"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","הוסף חוות דעת חדשה"
"Add Your Review","הוסף את חוות הדעת שלך"
"Administrator","מנהל"
"All Reviews","כל חוות הדעת"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"All Reviews of Product `%s`","All Reviews of Product `%s`"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure?","האם אתה בטוח?"
"Average Customer Rating","ממוצע דירוג  הלקוחות"
"Average Customer Rating:","ממוצע דירוג הלקוחות:"
"Back","חזור"
"Back to Main Product Info","חזור לפירוט מוצר"
"Back to My Reviews","חזרה לחוות דעת שלי"
"Back to Product Reviews","חזור אל חוות דעת על המוצר"
"Be the first to review this product","היה ראשון לתת חוות דעת על מוצר זה"
"Catalog Product Review View","תצוגת חוות דעת המוצר"
"Catalog Product Reviews List","רשימת חוות דעת המוצרים"
"Created On","נוצר ב"
"Customer","לקוח"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","חוות דעת של לקוחות"
"Customers Reviews","חוות דעת לקוחות"
"Delete","מחיקה"
"Delete Review","מחק חוות דעת"
"Detailed Rating","פירטי דירוגים"
"Edit Review '%s'","עריכת ביקורת '%s'"
"Guest","אורח"
"How do you rate this product?","איך תדרג מוצר זה?"
"ID","ID"
"Manage Ratings","נהל דירוגים"
"My Product Reviews","חוות דעת המוצרים שלי"
"My Recent Reviews","חוות דעת אחרונות שלי"
"Name","שם"
"Name in Store","Name in Store"
"New Review","חוות דעת חדשה"
"Nickname","כינוי"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending Reviews","חוות דעת בהמתנה"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","אנא בחר מוצר"
"Please select one of each of the ratings above","בחר ערך מכל אחד הדירוגים הנ""ל"
"Posted By","פורסם ע""י"
"Price","מחיר"
"Product","מוצר"
"Product Name","שם המוצר"
"Product Rating","דירוג מוצר"
"Product Rating:","דירוג מוצר:"
"Product Review (submitted on %s):","חוות דעת מוצר (הוגשה בתאריך %s):"
"Product Reviews","חוות דעת מוצר"
"Product SKU","מק""ט מוצר"
"Products Reviews","חוות דעת מוצרים"
"Qty","כמות"
"Rating:","דירוג:"
"Review","חוות דעת"
"Review (submitted on %s):","חוות דעת (התקבלה בתאריך %s):"
"Review Details","פרטי חוות דעת מוצר"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","חוות דעת של <span>%s</span>"
"Review can\'t be empty","Review can\'t be empty"
"Review summary can\'t be empty","Review summary can\'t be empty"
"Reviews and Ratings","חוות דעת ודירוגים"
"SKU","מק""ט"
"Save Review","שמור חוות דעת"
"Status","מצב"
"Submit Review","שלח חוות דעת מוצר"
"Summary Rating","סיכום דירוג"
"Summary of Review","תקציר חוות הדעת"
"Summary of Your Review","סיכום חוות הדעת"
"Title","כותרת"
"Type","סוג"
"Unable to post the review.","Unable to post the review."
"Update Status","Update Status"
"View All Reviews","הצג כל חוות הדעת"
"View Details","הצג פרטים"
"Visible In","מופיע ב"
"Websites","אתרים"
"Write Your Own Review","כתוב חוות דעת שלך"
"You have submitted no reviews.","לא הגשת אף חוות דעת."
"You're reviewing:","הנך סוקר:"
"Your Rating:","הדירוג שלך:"
"Your Review (submitted on %s):","חוות הדעת שלך (הוגשה בתאריך %s):"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
