"%d Review(s)","%d 個評測"
"%s Review(s)","%s個評測"
"(Posted on %s)","（發布於%s）"
"1 star","1 星"
"2 stars","2 星"
"3 stars","3 星"
"4 stars","4 星"
"5 stars","5 星"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href="" %1$s""="" onclick="" this.target=\'blank\'"""""">%2 $ S%3 $ S </a> <a href="""" mailto:%4$s""""="""">（%4 $ S）</a>"""
"Add New Review","新增評測"
"Add Your Review","新增您的評測"
"Administrator","管理員"
"All Reviews","所有評測"
"All Reviews of Customer `%s`","客戶 '%s' 的所有評測"
"All Reviews of Product `%s`","所有評論產品`%S`"
"Allow Guests to Write Reviews","允許來賓撰寫評測"
"Are you sure you want to do this?","您是否確認要這樣做？"
"Are you sure?","您是否確認？"
"Average Customer Rating","客戶平均分"
"Average Customer Rating:","客戶平均分："
"Back","返回"
"Back to Main Product Info","返回產品資訊主頁"
"Back to My Reviews","返回我的評測"
"Back to Product Reviews","返回產品評測"
"Be the first to review this product","作為評論該產品的第一人"
"Catalog Product Review View","分類產品評測視圖"
"Catalog Product Reviews List","分類產品評測列表"
"Created On","建立於"
"Customer","客戶"
"Customer My Account Product Reviews","客戶我的賬戶產品評價"
"Customer My Account Review Details","客戶我的賬戶評價詳情"
"Customer Reviews","顧客評測"
"Customers Reviews","客戶評測"
"Delete","刪除"
"Delete Review","刪除評價"
"Detailed Rating","詳細評級"
"Edit Review '%s'","編輯評價""%s"""
"Guest","來賓"
"How do you rate this product?","您如何評價該產品？"
"ID","ID"
"Manage Ratings","管理評級"
"My Product Reviews","我的產品評價"
"My Recent Reviews","我的最近評價"
"Name","名稱"
"Name in Store","商店名稱"
"New Review","新評測"
"Nickname","暱稱"
"Nickname can\'t be empty","暱稱不可以是空的"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","僅註冊用戶可撰寫評論。請<a href="" %s""="">登錄</a>或<a href="" %s""="">註冊</a>"
"Pending Reviews","掛起的評測"
"Pending Reviews of Customer `%s`","來自客戶""%s""未決的評論"
"Please select a product","請選擇產品"
"Please select one of each of the ratings above","請在上方選擇每個評級"
"Posted By","發布者"
"Price","價格"
"Product","產品"
"Product Name","產品名"
"Product Rating","產品評分"
"Product Rating:","產品評分："
"Product Review (submitted on %s):","產品評測（提交於 %s）"
"Product Reviews","產品評測"
"Product SKU","產品SKU"
"Products Reviews","產品評論"
"Qty","數量"
"Rating:","評分："
"Review","評測"
"Review (submitted on %s):","評測（提交於 %s）："
"Review Details","評測詳情"
"Review Form Fields Before","評測表單欄位之前"
"Review by <span>%s</span>","評測者 <span>%s</span>"
"Review can\'t be empty","審查可以\'噸是空的"
"Review summary can\'t be empty","回顧總結可以\'噸是空的"
"Reviews and Ratings","評測與評級"
"SKU","SKU"
"Save Review","保存評測"
"Status","狀態"
"Submit Review","提交評測"
"Summary Rating","評分匯總"
"Summary of Review","評測匯總"
"Summary of Your Review","您的評測匯總"
"Title","標題"
"Type","類型"
"Unable to post the review.","無法發布該評測。"
"Update Status","更新狀態"
"View All Reviews","查看所有評測"
"View Details","查看詳情"
"Visible In","可見性"
"Websites","網站"
"Write Your Own Review","撰寫您自己的評測"
"You have submitted no reviews.","您尚未提交評測。"
"You're reviewing:","您正在評測："
"Your Rating:","您的評分："
"Your Review (submitted on %s):","您的評測（提交於 %s）："
"Your review has been accepted for moderation.","您的評測已被管理員批准。"
