"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Bağlantı</a>"
"Actions XML is not valid.","İşlemler XML geçerli değil."
"An error occurred while opening file: ""%s"".","Dosya açılırken hata oluştu : ""%s""."
"Could not load file: ""%s"".","Dosya yüklenemedi : ""%s""."
"Could not save file: %s.","Dosya yüklenemedi : %s."
"Declared adapter %s was not found.","Belirtilen adaptör %s bulunamadı."
"Destination folder ""%s"" is not a directory.","Hedef klasör ""%s"" bir klasör değil."
"Destination folder ""%s"" is not writable.","Hedef klasör ""%s"" için yazma yetkisi yok."
"Done","Tamamlandı"
"Dry run set, stopping execution.","Önizleme çalıştırması için uygulama durduruluyor."
"ETA: %s","Tahmini Süre: %s"
"Error in field mapping: field list for mapping is not defined.","Alan eşlemesinde hata : eşleme için alan listesi oluşturulmamış."
"File ""%s"" does not exist.","Dosya ""%s"" bulunamadı."
"Found %d rows.","%d satır bulundu."
"Less than a minute","1 dakikadan az"
"Loaded successfully: ""%s"".","Başarıyla yüklendi : ""%s""."
"Memory Used: %s","Kullanılan Hafıza : %s"
"Method ""%s"" not defined in adapter %s.","Metod ""%s"", %s adaptörü içinde belirtilmedi."
"Method ""%s"" was not defined in adapter %s.","Metod ""%s"", %s adaptörü içinde belirtilmedi."
"Please declare ""adapter"" and ""method"" nodes first.","Lütfen önce ""adaptör"" ve ""metod"" uçlarını belirtin."
"Processed records: %s","İşlenen kayıt sayısı : %s"
"Profile with the same name already exists.","Aynı adla bir profil zaten var."
"Saved successfully: ""%s"" [%d byte(s)].","Kaydedildi : ""%s"" [%d bayt]."
"Sheet 1","Sayfa 1"
"Skip undefined row.","Ayarlanmamış satırı atla."
"Starting %s :: %s","%s :: %s Başlatılıyor"
"The destination folder ""%s"" does not exist or there is no access to create it.","Hedef klasör ""%s"" bulunamadı veya oluşturmak için yetki yok."
"Total records: %s","Toplam kayıt sayısı : %s"
"hour","saat"
"hours","saat"
"minute","dakika"
"minutes","dakika"
