" Copy"," Kopyala"
"Action","İşlem"
"Add New Template","Yeni Tema Ekle"
"Add to Queue","Kuyruğa Ekle"
"Allow Guest Subscription","Misafirlerin abone olmasına izin ver"
"An error occurred while saving your subscription.","Aboneliğiniz kaydedilirken bir sorun oluştu."
"Are you sure that you want to delete this template?","Bu Temau silmek istediğinizden emin misiniz ?"
"Are you sure that you want to strip all tags?","Bütün HTML taglarını kaldırmak istediğinizden emin misiniz ?"
"Back","Geri"
"Cancel","İptal"
"Cancelled","İptal edildi"
"Cannot mark as received subscriber.","Yeni abone olarak işaretlenemedi."
"Confirmation Email Sender","Onay E-Maili için Gönderici"
"Confirmation Email Template","Onay E-Maili Teması"
"Confirmation request has been sent.","Onaylama isteği gönderildi."
"Convert to Plain Text","Düz yazıya çevir"
"Create Newsletter Template","Duyuru Temau oluştur"
"Customer","Müşteri"
"Customer First Name","Müşteri Adı"
"Customer Last Name","Müşteri Soyadı"
"Customer My Account Newsletter Subscriptions","Müşteri Hesabım Duyuru Abonelikleri"
"Date Added","Eklendiği Tarih"
"Date Updated","Güncellendiği Tarih"
"Delete","Sil"
"Delete Selected Problems","Seçili problemleri sil"
"Delete Template","Temayı Sil"
"Do you really want to cancel the queue?","Kuyruğu iptal etmek istediğinizden emin misiniz ?"
"Duplicate template code.","Çift tema kodu."
"Edit Newsletter","Duyuruyu Düzenle"
"Edit Newsletter Template","Duyuru Temasını Düzenle"
"Edit Queue","Kuyruğu Düzenle"
"Edit Template","Temayı Düzenle"
"Email","Email"
"Enter your email address","E-mail adresinizi giriniz"
"Error Code","Hata Kodu"
"Error Text","Hata Mesajı"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Abonelikten çıkmak için tıklayınız : <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Misafir"
"ID","No"
"Invalid queue selected.","Hatalı kuyruk seçimi."
"Invalid subscription ID.","Hatalı abonelik numarası."
