"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","\'*\' -matcht elke; \'xyz*\' -matcht alles dat begint met \'xyz\' en niet langer met %d."
"-- Please Select --","-- Selecteer a.u.b. --"
"Add New Class","Nieuwe tariefgroep toevoegen"
"Add New Tax Rate","Nieuw BTW-tarief toevoegen"
"Add New Tax Rule","Nieuwe BTW-regel toevoegen"
"After Discount","Na korting"
"An error occurred while deleting this rate.","Er is een fout opgetreden tijdens het verwijderen van de percentage."
"An error occurred while deleting this rate. Incorrect rate ID.","Er is een fout opgetreden tijdens het verwijderen van het tarief. Een foutieve tarief ID."
"An error occurred while deleting this tax class.","Er is een fout opgetreden tijdens het verwijderen van het BTW-tarief."
"An error occurred while deleting this tax rule.","Er is een fout opgetreden bij het verwijderen van de BTW regel."
"An error occurred while saving this tax class.","Er is een fout opgetreden bij het opslaan van het BTW-tarief."
"An error occurred while saving this tax class. A class with the same name","Er is een fout opgetreden bij het opslaan van deze belasting klasse. Een klasse met dezelfde naam"
"Apply Customer Tax","BTW in rekening brengen:"
"Apply Discount On Prices","Bereken de korting op de prijzen."
"Apply Tax On","Bereken BTW op"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Korting op de prijs inclusief b.t.w. is berekend op basis van winkel belasting, wanneer Apple Belasting na Korting"" is geselecteerd."
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Back","Terug"
"Before Discount","Voorafgaand aan korting"
"CSV","CSV"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation Settings","BTW berekeningsmethodiek"
"Catalog Prices","Catalogusprijzen"
"Class Name","Naam tariefgroep"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Click here to go to <a href=""%s"">Tax configuration</a> and change your settings."
"Code","Code"
"Country","Land"
"Custom price if available","Aangepaste prijs als deze beschikbaar is"
"Customer Tax Class","BTW-tariefgroep klant"
"Customer Tax Class Information","Gegevens BTW-tariefgroep klant"
"Customer Tax Classes","BTW-tariefgroepen klant"
"Default Country","Standaard-land"
"Default Post Code","Standaard-postcode"
"Default State","Standaard-provincie"
"Default Tax Destination Calculation","Land van Herkomst"
"Delete Class","Tariefgroep verwijderen"
"Delete Rate","Tarief verwijderen"
"Delete Rule","Regel verwijderen"
"Display Full Tax Summary","Volledig BTW-overzicht tonen"
"Display Prices","Prijzen tonen"
"Display Product Prices In Catalog","Productprijzen tonen in catalogus"
"Display Shipping Amount","Verzendkosten tonen"
"Display Shipping Prices","Transportkosten tonen"
"Display Subtotal","Subtotaal tonen"
"Display Zero Tax Subtotal","BTW van Nul tonen in subtotaal"
"Edit Class","Tariefgroep bewerken"
"Edit Class '%s'","Bewerken van tariefgroep ‘%s’"
"Edit Rule","Regel bewerken"
"Edit Tax Rate","Bewerk BTW-tarief"
"Excel XML","Excel XML"
"Excl. Tax","Excl. BTW"
"Excl. Tax:","Excl. BTW:"
"Excluding Tax","Exclusief BTW"
"Export Tax Rates","Exporteer BTW-tarieven"
"Grand Total (Excl. Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Excl.Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Incl. Tax)","Eindtotaal (incl. BTW)"
"Grand Total (Incl.Tax)","Eindtotaal (incl. BTW)"
"Grand Total Excl. Tax","Eindtotaal (excl. BTW)"
"Grand Total Incl. Tax","Eindtotaal (incl. BTW)"
"Ignore this notification","Ignore this notification"
"Import / Export Tax Rates","BTW-tarieven in- en exporteren"
"Import Tax Rates","BTW-groepen importeren"
"Inc. Tax","Incl. BTW"
"Incl. Tax","Incl. BTW"
"Incl. Tax:","Incl. BTW:"
"Include Tax In Grand Total","BTW toevoegen aan eindtotaal"
"Including Tax","Inclusief BTW"
"Including and Excluding Tax","In- en exclusief BTW"
"Invalid file format upload attempt","Poging ongeldig bestandsformaat te uploaden"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Manage Customer Tax Classes","Beheer BTW-groepen klanten"
"Manage Product Tax Classes","Beheer BTW-groepen producten"
"Manage Tax Rates","Beheer BTW-tarieven"
"Manage Tax Rules","Beheer BTW-regels"
"Manage Tax Zones & Rates","Beheer belastingzones & tarieven"
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Name","Naam"
"New Class","Nieuwe BTW-groep"
"New Rule","Nieuwe regel"
"New Tax Rate","Nieuw BTW-tarief"
"No","Nee"
"None","Geen"
"One of the country has invalid code.","Eén van de landen heeft een ongeldige code"
"Orders, Invoices, Credit Memos Display Settings","Orders, facturen, creditnota's weergave instellingen"
"Original price only","Alleen oorspronkelijke prijs"
"Please fill all required fields with valid information.","Please fill all required fields with valid information."
"Please see <a href=""%s"">source</a> for more details.","Please see <a href=""%s"">source</a> for more details."
"Price Display Settings","Prijsweergave instellingen"
"Priority","Prioriteit"
"Product Tax Class","BTW-tariefgroep product"
"Product Tax Class Information","BTW-tariefgegevens van product"
"Product Tax Classes","BTW-groepen product"
"Range From","Van"
"Range To","Tot"
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"Rate","Tarief"
"Rate Percent","Percentage"
"Rate Percent should be a positive number.","Rate Percent should be a positive number."
"Reset","Herstellen"
"Row Total","Rijtotaal"
"Sales","Verkopen"
"Save Class","Tariefgroep opslaan"
"Save Rate","Tarief opslaan"
"Save Rule","Regel opslaan"
"Save and Continue Edit","Opslaan en bewerken continueren"
"Shipping & Handling (Excl.Tax)","Handling & Verzendkosten (excl. BTW)"
"Shipping & Handling (Incl.Tax)","Handling & Verzendkosten (incl. BTW)"
"Shipping & Handling Tax","Verzending & Verwerking BTW"
"Shipping (Excl. Tax)","Verzendkosten (excl. BTW)"
"Shipping (Incl. Tax)","Verzendkosten (incl. BTW)"
"Shipping Excl. Tax (%s)","Verzendkosten excl. BTW (%s)"
"Shipping Incl. Tax (%s)","Verzendkosten incl. BTW (%s)"
"Shipping Prices","Verzendkosten"
"Shopping Cart Display Settings","Winkelwagen weergave instellingen"
"Sort Order","Sorteervolgorde"
"State","Provincie"
"State/Region","Provincie"
"Subtotal (Excl. Tax)","Subtotaal (excl. BTW)"
"Subtotal (Excl.Tax)","Subtotaal (incl. BTW)"
"Subtotal (Incl. Tax)","Subtotaal (incl. BTW)"
"Subtotal (Incl.Tax)","Subtotaal (incl. BTW)"
"Subtotal only","Subtotal only"
"Tax","BTW"
"Tax Calculation Based On","BTW berekening op basis van"
"Tax Calculation Method Based On","BTW berekeningsmethodiek o.b.v"
"Tax Class for Shipping","BTW-groep voor verzending"
"Tax Classes","BTW-tariefgroepen"
"Tax Identifier","BTW-identifier"
"Tax Rate","BTW-tarief"
"Tax Rate Information","BTW-tariefgegevens"
"Tax Rule Information","BTW-tariefgroep-gegevens"
