"Actions","Åtgärder"
"Add Answer","Lägg till svarsalternativ"
"Add New Answer","Lägg till nytt svarsalternativ"
"Add New Poll","Ny enkät"
"Answer Title","Titel för svar"
"Answer Title:","Titel för svar:"
"Answer with the same title in this poll","Svar med samma titel i denna enkät"
"Are you sure you want to delete it?","Är du säker på att du vill ta bort den?"
"Assigned Answers","Tilldelade svar"
"Closed","Stängd"
"Community Poll","Enkät"
"Date Closed","Avslutades den"
"Date Posted","Påbörjades den"
"Delete","Ta bort"
"Delete Answer","Ta bort svar"
"Delete Poll","Ta bort enkäten"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Tillåt inte fler än 1 röst per enkät och IP nummer."
"Edit Answer '%s'","Ändra svar '%s'"
"Edit Poll '%s'","Ändra på enkät '%s'"
"Edit Poll Answer","Ändra enkätsvar"
"ID","Id"
"Invalid Answer.","Ogiltigt svar."
"New Poll","Ny enkät"
"Number of Responses","Antal svar"
"Open","Öppen"
"Poll Answers","Svar på enkät"
"Poll Information","Enkätinformation"
"Poll Manager","Hantera enkäter"
"Poll Question","Enkätfråga"
"Poll information","Enkätinformation"
"Poll with the same question","Enkät med samma fråga"
"Polls","Enkäter"
"Save Answer","Spara svar"
"Save Poll","Spara enkäten"
"Status","Status"
"The answer has been saved.","Svaret har sparats."
"The poll does not exist.","Enkäten finns inte."
"Unable to find an answer to delete.","Kunde inte hitta ett svar att ta bort."
"Visible In","Synligt i"
"Vote","Rösta"
"Votes Count","Antal röster"
"Votes Count:","Antal röster:"
