" Copy","複製"
"Action","操作"
"Add New Template","新增範本"
"Add to Queue","新增到隊列"
"Allow Guest Subscription","允許遊客訂閱"
"An error occurred while saving your subscription.","保存您的訂閱時發生錯誤。"
"Are you sure that you want to delete this template?","您是否確認要刪除該範本？"
"Are you sure that you want to strip all tags?","您確認要去除所有標籤嗎？"
"Back","返回"
"Cancel","取消"
"Cancelled","已取消"
"Cannot mark as received subscriber.","無法標記為已接收的訂閱者。"
"Confirmation Email Sender","確認電子郵件發送者"
"Confirmation Email Template","確認電子郵件模版"
"Confirmation request has been sent.","確認請求已發送。"
"Convert to Plain Text","轉換為純文本"
"Create Newsletter Template","建立新聞通訊範本"
"Customer","客戶"
"Customer First Name","客戶名字"
"Customer Last Name","客戶姓氏"
"Customer My Account Newsletter Subscriptions","客戶我的賬戶新聞通訊訂閱"
"Date Added","新增日期"
"Date Updated","更新日期"
"Delete","刪除"
"Delete Selected Problems","刪除已選擇的問題"
"Delete Template","刪除範本"
"Do you really want to cancel the queue?","您確認要刪除隊列嗎？"
"Duplicate template code.","重複的模版代碼。"
"Edit Newsletter","編輯新聞通訊"
"Edit Newsletter Template","編輯新聞通訊模版"
"Edit Queue","編輯隊列"
"Edit Template","編輯範本"
"Email","電子郵件"
"Enter your email address","輸入您的電子郵件地址"
"Error Code","錯誤代碼"
"Error Text","錯誤文本"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","使用此連結來退訂&lt;!-- 該標記用于退訂連結 --&gt;<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","來賓"
"ID","ID"
"Invalid queue selected.","已選擇無效的隊列。"
"Invalid subscription ID.","無效的訂閱 ID。"
"Invalid subscription confirmation code.","無效的訂閱確認代碼。"
"Message","資訊"
"Need to Confirm","需要確認"
"New Newsletter Template","新新聞通訊範本"
"New Template","新範本"
"Newsletter","新聞郵件"
"Newsletter Message Preview","新聞通訊消息預覽"
"Newsletter Problem Reports","新聞通訊問題報告"
"Newsletter Queue","新聞郵件隊列"
"Newsletter Section","新聞郵件區域"
"Newsletter Sign-up:","電子報註冊："
"Newsletter Styles","新聞郵件風格"
"Newsletter Subscribers","新聞郵件訂閱者"
"Newsletter Subscription","新聞郵件訂閱"
"Newsletter Subscription Form Before","新聞郵件訂閱表單前"
"Newsletter Subscriptions","新聞郵件訂閱"
"Newsletter Templates","新聞郵件範本"
"Newsletter subscription confirmation","新聞郵件訂閱確認"
"Newsletter subscription success","新聞郵件訂閱成功"
"Newsletter unsubscription success","新聞郵件退訂成功"
"No Templates Found","範本未找到"
"No problems found.","未找到問題。"
"No subscribers selected.","未選擇訂閱者。"
"Not Activated","未激活"
"Not Sent","未發送"
"Pause","暫停"
"Paused","已暫停"
"Please enter a valid email address.","請輸入有效的電子郵件地址。"
"Please enter new template name","請輸入新的範本名稱"
"Please refer to exeption.log","請參考 exeption.log"
"Please select subscriber(s)","請選擇訂閱者"
"Preview","預覽"
"Preview Template","預覽範本"
"Processed","已處理"
"Queue Date Start","隊列數據開始"
"Queue Finish","隊列完成"
"Queue Information","隊列資訊"
"Queue Newsletter...","隊列新聞郵件..."
"Queue Start","隊列開始"
"Queue Subject","隊列主題"
"Recipients","收件人"
"Reset","重置狀態"
"Resume","恢復"
"Return HTML Version","返回HTML版本"
"Save As","另存為"
"Save Newsletter","保存新聞郵件"
"Save Template","保存範本"
"Save and Resume","保存並恢復"
"Selected problem subscribers have been unsubscribed.","選中的有問題訂閱者已退訂。"
"Selected problems have been deleted.","選中的問題已刪除。"
"Sender","發送方"
"Sender Email","發送人郵件"
"Sender Name","發送人名稱"
"Sending","正在發送"
"Sent","已發送"
"Sign Up for Our Newsletter:","訂閱我們的新聞郵件："
"Sign up for our newsletter","訂閱我們的新聞郵件"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","對不起，但管理員拒絕了來賓的訂閱。請 <a href=""%s"">註冊</a>。"
"Start","開始"
"Status","狀態"
"Store","商店"
"Store View","店舖視圖"
"Subject","主題"
"Submit","提交"
"Subscribe","訂閱"
"Subscribed","已訂閱"
"Subscriber","訂閱者"
"Subscribers","訂閱者"
"Subscribers From","訂閱者來自"
"Subscription Options","訂閱選項"
"Success Email Sender","成功電子郵件發送者"
"Success Email Template","成功電子郵件範本"
"Template Content","範本內容"
"Template Information","範本資訊"
"Template Name","範本名稱"
"Template Styles","範本風格"
"Template Subject","範本主題"
"Template Type","範本類型"
"Thank you for your subscription.","感謝您的訂閱。"
"The subscription has been removed.","訂閱已刪除。"
"The subscription has been saved.","訂閱已保存。"
"There was a problem with the subscription.","訂閱遇到問題。"
"There was a problem with the subscription: %s","訂閱 %s 遇到問題"
"There was a problem with the un-subscription.","取消訂閱遇到問題。"
"This email address is already assigned to another user.","該電子郵件地址已分配給另一用戶。"
"Type","類型"
"Unconfirmed","未確認"
"Unsubscribe","退訂"
"Unsubscribe Selected","退訂所選者"
"Unsubscribed","已退訂"
"Unsubscription Email Sender","退訂郵件發送程式"
"Unsubscription Email Template","退訂郵件範本"
"View Newsletter","查看新聞郵件"
"Website","網站"
"You have been unsubscribed.","您已經退訂。"
"Your subscription has been confirmed.","您的訂閱已確認。"
