"1 star","1 星"
"2 stars","2 星"
"3 stars","3 星"
"4 stars","4 星"
"5 stars","5 星"
"Add New Rating","新增評級"
"Assigned Options","分配的選項"
"Be the first to review this product","作為評論該產品的第一人"
"Default Value","預設值"
"Delete Rating","刪除評級"
"Edit Rating","編輯評級"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","如果您不為商店指定評級標題，則將使用預設值。"
"Manage Ratings","管理評級"
"New Rating","新評級"
"Option Label","選項標籤"
"Option Title","選項標題"
"Option Title:","選項標題："
"Please select one of each ratings above","請選擇上述評級"
"Rating Information","評級資訊"
"Rating Name","評級名稱"
"Rating Options","評級選項"
"Rating Title","評級標題"
"Rating Visibility","評級能見度"
"Rating isn't Available","評級不可用"
"Rating with the same title","對同一名稱打分"
"Save Rating","保存評分"
"Sort Order","排序順序"
"Visible In","可見性"
