"Add","新增"
"Add New Row","加新行"
"Add links and samples to downloadable product","新增連結和下載產品樣品"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","建議對文件名使用字母、橫線，以及下劃線字符。錯誤的字符將被使用 \'_\'替換。"
"An error occurred while getting the requested content.","獲取所請求的內容時出錯。"
"An error occurred while getting the requested content. Please contact the store owner.","獲取所請求的內容時出錯。請聯繫店舖所有者。"
"An error occurred while saving the file(s).","保存文件時出錯。"
"Availability:","可用性："
"Back","返回"
"Canceled","已取消"
"Cannot connect to remote host, error: %s.","無法聯繫遠程主機，錯誤：%s"
"Catalog Product View (Downloadable)","分類產品視圖（可下載）"
"Category API","類別 API"
"Customer My Account Downloadable Items","客戶我的帳戶儀表板項目"
"Date","日期"
"Default Link Title","預設連結標題"
"Default Maximum Number of Downloads","下載數量預設最大值"
"Default Sample Title","預設範例標題"
"Delete","刪除"
"Disable Guest Checkout if Cart Contains Downloadable Items","如果購物車包含可下載內容，則禁止來賓結賬"
"Downloadable Information","可下載的資訊"
"Downloadable Product","可下載產品"
"Downloadable Product Options","可下載產品選項"
"Downloadable Product Section","下載產品組"
"Edit","編輯"
"Edit item parameters","編輯項目參數"
"Excl. Tax","不含稅"
"File","文件"
"From:","來自："
"Gift Message","禮品消息"
"Go to <a href=""%s"">My Downloadable Products</a>","去到 <a href="" %s""="">我的下載產品</a>"
"Guest checkout will only work with shareable.","來賓結賬空能僅限可分享商品。"
"In stock","現貨"
"Incl. Tax","含稅"
"Invalid download URL host.","無效的下載URL主機。"
"Invalid download URL scheme.","無效的下載URL架構。"
"Invalid download link type.","無效的下載連結類型。"
"Invoiced","已出發票"
"Links can be purchased separately","連結可單獨購買"
"List","列表"
"Max. Downloads","最大下載數"
"Message:","資訊："
"Move","移動"
"My Downloadable Products","我的可下載產品"
"Open Links in New Window","在新窗口打開連結"
"Order #","訂單 #"
"Order Item Status to Enable Downloads","訂單項目狀態為允許下載"
"Order id cannot be null","訂單編號不能為空"
"Order item id cannot be null","訂購物品 id 不能為空"
"Ordered","已下單"
"Out of stock","缺貨"
"Pending","掛起"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","請登錄到你的產品或購買<a href="" %s""="">%s的</a>下載。"
"Please log in to download your product.","請登錄以下載您的產品"
"Please set resource file and link type.","請設置資源類型與連結類型。"
"Please specify product link(s).","請指定產品連結。"
"Price","價格"
"Product downloadable links","產品下載連結"
"Qty","數量"
"Refunded","已存儲"
"Remaining Downloads","剩餘下載"
"Remove","刪除"
"Remove Item","刪除項目"
"Remove links and samples from downloadable product","刪除下載產品的連結及樣品"
"Requested link does not exist.","所請求的連結不存在。"
"Retrieve links and samples list from downloadable product","獲得連結和下載產品樣本名單"
"Sample","範例"
"See price before order confirmation.","確認訂單前顯示價格。"
"Shareable","可分享"
"Shipped","已發貨"
"Sorry, there was an error getting requested content. Please contact the store owner.","很抱歉，獲取請求的內容是一個錯誤。請聯繫店主。"
"Sort Order","排序順序"
"Start Download","開始下載"
"Status","狀態"
"The file does not exist.","該文件不存在。"
"The link has expired.","該連結已過期。"
"The link is not available.","該連結不可用。"
"There are files that were selected but not uploaded yet. Please upload or remove them first","這些檔案被選取但未上載。請先把它上載或移除"
"Title","標題"
"To:","至："
"U","U"
"Unlimited","無限"
"Use Content-Disposition","用戶內容描述"
"Use Default Value","使用預設值"
"View Order","查看訂單"
"What's this?","這是什麼？"
"You have not purchased any downloadable products yet.","您尚未購買任何可下載的產品。"
"attachment","附件"
"download","下載"
"inline","內聯"
"sample","示例"
