"* Select shipping method","* Teslimat Yöntemini Seçiniz"
"2Day","2Gün"
"2nd Day Air","2.Gün Hava Kargosu"
"2nd Day Air AM","2.Gün Hava Kargosu (ÖÖ)"
"3 Day Select","3 Gün"
"<br />Warning: <strong>%s</strong><br />","<br />Dikkat : <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Dikkat!</strong> Bu seçenek satıcı tarafından teslimat ücreti hesaplamayı devreden çıkarır. Bu seçenek açıkken Google API teslimat hesaplamaz."
"A virtual item to reflect the discount total","İndirimli toplamı gösterecek sanal ürün"
"A virtual item to reflect the tax total","Vergi toplamını gösterecek sanal ürün"
"AVS Status: %s","AVS Durumu : %s"
"Add Shipping Method","Teslimat Yöntemi Ekle"
"Allowed Methods","İzin Verilen Yöntemler"
"Amount: %s","Toplam : %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout tahsilatıyla otomatik oluşturuldu"
"Buyer Account Age: %s days","Müşteri Hesap Ömrü : %s gün"
"CC Partial: xxxx-%s","K.K. Numara Sonu : xxxx-%s"
"CID Status: %s","CID Durumu : %s"
"Carrier Calculated Methods","Taşıyıcı Tarafından Hesaplanan Yöntemler"
"Cart Discount","İndirim"
"Checkout Image Style","Alışveriş Bitim Resminin Stili"
"Commercial","Ticari"
"Continue Shopping URL","Alışverişe Devam Adresi"
"Credit memo has been created automatically","Alacak kaydı otomatik olarak oluşturuldu"
"Debug","Hata Ayıklama"
"Default Package Height (in)","Varsayılan Paket Yüksekliği (inç)"
"Default Package Length (in)","Varsayılan Paket Uzunluğu (inç)"
"Default Package Width (in)","Varsayılan Paket Genişliği (inç)"
"Default Price for Methods","Yöntemler için Varsayılan Ücret"
"Default price:","Varsayılan Fiyat :"
"Delivery Address Category","Teslimat Adresi Kategorisi"
"Delivery Schedule","Teslim Takvimi"
"Description-based delivery","Açıklama temelli teslimat"
"Disable Default Tax Tables","Varsayılan Vergi Tablolarını devre dışı bırak"
"Discount Tax","İndirimin Vergisi"
"Eligible for Protection: %s","Korumaya Uygun : %s"
"Email delivery","Email teslimatı"
"Enable","Açık"
"Enable Carrier Calculated","Taşıyıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable Digital Delivery","Sayısal Teslimat Kullan"
"Enable Flat Rate","Tek Fiyat Kullan"
"Enable Merchant Calculated","Satıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable this if your checkout request is too big and being cut off.","Eğer alışveriş bitirme verisi çok büyükse bu seçeneği seçiniz."
"Expiration: %s","Bitiş : %s"
"Express Mail","Express Posta"
"Express Saver","Express Tasarruflu"
"FedEx","FedEx"
"Financial: %s -> %s","Finansal : %s -> %s"
"First Overnight","İlk Gece"
"Free Shipping","Ücretsiz Teslimat"
"Fulfillment: %s -> %s","İfa : %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Kullanıcı Onayı :"
"Google Buyer ID: %s","Müşterinin Google Kimliği : %s"
"Google Charge:","Google Tahsilatı :"
"Google Chargeback:","Google Geri Ödeme :"
"Google Checkout","Google Ödemesi"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Teslimat - Taşıyıcının Hesaplaması"
"Google Checkout Shipping - Digital Delivery","Google Checkout Teslimi - Sayısal Teslimat"
"Google Checkout Shipping - Flat Rate","Google Checkout Teslimat - Tek Fiyat"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Teslimat - Satıcının Hesaplaması"
"Google Checkout: %s","Google Ödeme : %s"
"Google Order Number: %s","Google Sipariş No : %s"
"Google Order Status Change:","Google Sipariş Durum Değişimi :"
"Google Refund:","Google Geri Ödeme :"
"Google Risk Information:","Google Risk Bilgisi :"
"Ground","Karasal Kargo"
"Hide Cart Contents","Sepet içeriğini gizle"
"Home Delivery","Eve Teslim"
"IP Address: %s","IP Adresi: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","
Eğer etkinse, Google Checkout butonuna basıldığında Sepet içeriği gizlenir, ""Sepet Düzenle"" bağlantına basıldığında görünür hale gelir."
"Inches","İnç"
"Invoice Auto-Created: %s","Otomatik Oluşturulan Fatura : %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Müşteri Duyuru Mailleri Almak İstiyor mu : %s"
"Key/URL delivery","Anahtar/URL teslimatı"
"Large - %s","Geniş - %s"
"Latest Charge: %s","Son tahsilat : %s"
"Latest Chargeback: %s","Son Geri Ödeme : %s"
"Latest Refund: %s","Son geri ödeme : %s"
"Location","Yer"
"Media Mail","Medya Posta"
"Medium - %s","Orta - %s"
"Merchant ID","Satıcı No"
"Merchant Key","Satıcı Anahtarı"
"Method","Yöntem"
"New Order Status","Yeni Sipariş Durumu"
"Next Day Air","Bir sonraki gün Hava Kargosu"
"Next Day Air Early AM","Bir sonraki gün Hava Kargosu (Sabah Teslim)"
"Next Day Air Saver","Bir sonraki gün Hava Kargosu Ekonomik"
"No","Hayır"
"No Comment","Yorum Yok"
"No Reason","Sebep yok"
"Optimistic","İyimser"
"Optional, leave empty for home page.","İsteğe bağlıdır, ana sayfa için boş bırakınız."
"Order creation error","Sipariş oluşturma hatası"
"Parcel Post","Paket Postası"
"Pessimistic","Kötümser"
"Priority Mail","Öncelikli Posta"
"Priority Overnight","Öncelikli İlk Gece Teslimi"
"Rate 1 Amount","Oran 1 Toplam"
"Rate 1 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 1 "
"Rate 1 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 1"
"Rate 1 Title","Rate 1 Başlık"
"Rate 2 Amount","Oran 2 Toplam"
"Rate 2 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 2 "
"Rate 2 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 2"
"Rate 2 Title","Rate 2 Başlık"
"Rate 3 Amount","Oran 3 Toplam"
"Rate 3 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 3 "
"Rate 3 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 3"
"Rate 3 Title","Rate 3 Başlık"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Gerçek Google Checkout işlemleri için gereklidir. (""Web"" > ""Güvenli"") 'Ön Sayfada Güvenli Adresler Kullan' seçeneği açık olduğundan emin olunuz ."
"Residential","Yerleşik"
"Sandbox","Güvenli Kutu"
"Secure Callback URL","Güvenli Geri Çağrım Adresi"
"Small - %s","Küçük - %s"
"Standard Overnight","Standart İlk Gece Teslim"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Vergi toplamı Google Checkout'tan alınan bilgilerle hesaplanacak, çünkü sistemde hesaplanan ve Google Checkout'ta hesaplanan vergi arasında fark var."
"Title","Başlık"
"Total Chargeback: %s","Toplam Geri Ödeme : %s"
"Total Charged: %s","Toplam Tahsilat : %s"
"Total Refunded: %s","Toplam Geri Ödeme : %s"
"Transparent","Transparan"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","İngiltere"
"United States","A.B.D."
"Unknown Reason","Bilinmeyen Sebep"
"White Background","Beyaz Arka Plan"
"Yes","Evet"
"You will be redirected to GoogleCheckout in a few seconds.","Birkaç saniye içinde GoogleCheckout sayfasına yönlendirileceksiniz."
